OTU ID	wt1	wt2	wt3	wt4	wt5	wt6	wt7	wt8	wt9	yj1	yj2	yj3	yj4	yj5	yj6	yj7	yj8	yj9
OTU_329	2	1	1	2	0	2	0	0	1	0	1	2	1	1	1	0	0	0
OTU_330	0	5	1	8	4	7	6	12	4	7	5	5	9	5	2	0	3	0
OTU_331	4	13	5	6	8	12	3	0	2	9	6	2	7	5	5	0	1	1
OTU_332	0	3	2	3	1	3	1	0	2	3	7	0	2	2	2	0	0	0
OTU_333	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_334	3	3	4	3	0	7	6	3	1	3	3	0	3	1	2	0	1	3
OTU_335	3	1	1	1	3	1	1	1	1	1	0	1	1	1	0	0	0	0
OTU_336	0	1	2	0	0	1	2	0	1	1	0	0	0	1	0	0	0	0
OTU_337	2	2	1	0	3	2	1	0	2	1	2	2	2	2	1	0	1	0
OTU_338	0	1	3	2	1	0	0	0	1	1	2	0	1	0	1	0	1	0
OTU_339	0	2	1	2	1	2	0	2	2	0	1	2	1	0	0	0	0	1
OTU_340	2	1	1	0	0	1	1	0	2	1	1	2	0	1	4	0	0	0
OTU_341	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0
OTU_342	7	4	6	4	0	1	0	0	1	0	1	0	0	0	4	0	1	0
OTU_343	1	0	0	2	0	2	0	1	1	0	0	0	0	2	1	0	3	1
OTU_344	1	5	5	5	0	4	0	1	2	1	2	1	2	1	1	0	0	0
OTU_345	0	3	1	1	0	1	4	0	1	2	0	1	0	0	0	0	1	0
OTU_346	4	2	4	1	3	2	1	3	5	3	2	0	1	1	1	0	0	0
OTU_347	1	0	0	0	0	2	0	0	1	0	1	1	0	1	0	0	0	0
OTU_348	2	1	0	1	0	2	0	4	1	1	0	0	2	0	0	0	0	0
OTU_349	0	1	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0
OTU_350	0	0	0	0	0	0	6	0	2	0	0	0	0	0	1	0	0	1
OTU_351	1	1	1	3	1	7	3	0	1	3	5	1	3	6	2	0	0	0
OTU_352	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_353	1	0	0	0	0	2	0	2	1	2	0	0	3	0	1	0	0	0
OTU_354	2	1	2	1	2	2	0	1	2	5	17	2	1	8	5	0	2	0
OTU_355	1	2	2	0	3	1	9	4	1	0	0	0	1	1	1	0	0	4
OTU_356	0	1	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0
OTU_357	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0
OTU_358	1	2	0	0	0	2	1	0	1	1	0	1	0	2	0	0	0	0
OTU_359	5	13	10	9	23	10	3	1	1	4	4	4	3	2	2	0	0	1
OTU_360	11	15	8	1	12	11	3	3	2	18	13	4	15	31	3	0	1	2
OTU_361	2	3	0	2	5	2	0	2	1	2	3	1	6	6	2	0	1	1
OTU_362	8	5	0	3	0	0	1	3	2	2	3	4	4	4	2	0	0	1
OTU_363	1	0	0	2	2	0	2	0	1	0	0	1	0	0	0	0	0	0
OTU_364	3	0	1	1	2	1	0	0	1	1	3	0	2	0	0	0	0	0
OTU_365	5	1	7	0	0	2	1	0	1	3	1	0	2	4	0	0	0	0
OTU_366	2	0	0	1	1	2	0	0	2	3	2	1	2	0	0	0	0	1
OTU_367	8	7	7	7	3	13	4	2	3	6	6	3	9	13	8	0	1	0
OTU_368	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0
OTU_369	2	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
OTU_370	2	1	2	2	0	0	3	4	1	0	0	1	1	0	0	0	0	2
OTU_371	0	0	0	0	1	2	0	1	2	0	0	0	0	2	0	0	0	0
OTU_372	2	2	4	2	3	2	4	0	2	1	3	2	2	2	0	0	0	0
OTU_373	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
OTU_374	0	0	1	0	2	6	4	1	2	1	0	0	0	2	2	0	0	0
OTU_375	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0
OTU_376	0	1	1	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0
OTU_377	1	2	1	2	3	0	1	0	1	1	0	3	2	0	1	0	1	0
OTU_378	0	0	0	1	0	0	1	3	1	0	0	1	0	0	0	0	0	0
OTU_379	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_380	1	1	0	0	0	1	0	0	1	0	1	0	2	1	0	0	0	1
OTU_381	0	0	0	0	1	5	0	0	2	0	1	2	0	0	1	0	0	0
OTU_382	0	3	1	0	0	2	2	1	1	1	2	0	3	2	1	0	1	0
OTU_383	0	0	0	1	2	1	2	0	1	1	0	0	0	0	1	0	0	1
OTU_384	11	10	11	3	5	7	5	2	2	7	9	0	4	9	1	0	1	1
OTU_385	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU_386	1	1	0	0	3	1	1	0	1	0	0	0	2	1	0	0	0	0
OTU_387	2	1	0	2	1	0	1	4	1	2	5	1	0	1	1	0	0	0
OTU_388	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
OTU_389	0	0	0	0	2	0	1	2	1	0	1	1	0	1	1	0	0	1
OTU_390	2	0	0	1	0	2	2	1	1	1	1	2	1	0	0	0	0	1
OTU_391	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
OTU_392	2	0	0	0	0	0	3	1	1	1	1	1	0	0	0	0	0	0
OTU_393	12	11	24	7	17	14	1	12	2	31	31	15	11	43	12	0	3	4
OTU_394	0	0	1	6	0	2	3	1	1	1	1	0	1	0	0	0	0	0
OTU_395	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_396	4	0	1	0	4	4	1	1	1	0	0	0	1	1	0	0	0	0
OTU_397	2	2	1	4	1	3	0	0	1	4	8	2	3	3	1	0	0	0
OTU_398	3	2	1	4	1	2	0	1	1	1	1	2	3	1	1	0	0	0
OTU_399	0	0	5	0	0	1	3	1	1	1	1	0	0	1	0	0	0	0
OTU_400	1	1	3	2	3	0	2	0	2	2	1	1	0	1	2	0	2	2
OTU_401	0	2	1	3	0	0	3	4	1	1	0	1	1	0	0	0	0	0
OTU_402	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
OTU_403	1	0	3	6	2	6	3	0	1	2	3	0	1	1	2	0	0	0
OTU_404	1	2	3	1	0	2	4	3	1	1	0	0	0	1	1	0	1	0
OTU_405	0	1	3	0	12	10	0	1	1	3	1	0	3	2	0	0	0	0
OTU_406	1	1	3	1	2	3	0	0	1	2	4	1	1	3	0	0	2	0
OTU_407	0	2	0	1	0	2	1	0	1	0	1	0	3	1	1	0	2	1
OTU_408	0	2	5	2	2	3	2	0	1	2	2	0	4	0	0	0	1	1
OTU_409	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU_410	1	3	1	1	0	2	1	1	1	0	0	1	1	0	1	0	0	0
OTU_411	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0
OTU_412	1	1	1	1	1	3	1	2	1	2	2	2	5	0	1	0	3	3
OTU_413	1	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0
OTU_414	7	6	1	0	3	4	2	0	1	2	8	1	4	0	4	0	4	0
OTU_415	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_416	1	1	2	3	0	4	0	0	1	0	0	1	1	0	0	0	1	0
OTU_417	0	0	0	0	1	0	1	0	1	0	1	0	0	0	2	0	0	0
OTU_418	0	0	1	0	1	2	0	1	0	0	0	0	1	1	1	0	0	1
OTU_419	4	3	7	6	2	1	3	4	0	3	0	5	2	2	2	0	2	2
OTU_420	1	0	3	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0
OTU_421	0	1	2	0	0	4	1	0	0	3	1	0	0	2	2	0	0	0
OTU_422	1	1	2	3	1	2	3	1	0	4	1	1	4	1	2	0	1	1
OTU_423	4	1	3	0	0	2	0	0	0	2	2	1	1	0	1	0	0	0
OTU_424	5	1	10	1	13	5	1	0	0	6	4	7	5	10	2	0	1	0
OTU_425	2	14	22	4	9	11	3	1	0	4	2	2	3	1	1	0	1	0
OTU_426	1	1	1	3	1	2	0	0	0	1	0	1	0	1	0	0	0	0
OTU_427	3	2	3	0	0	2	1	0	0	1	2	1	3	4	0	0	0	0
OTU_428	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0
OTU_429	0	0	1	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0
OTU_430	1	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
OTU_431	0	1	1	1	2	3	0	0	0	2	0	0	1	2	0	0	0	0
OTU_432	0	0	7	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0
OTU_433	4	3	1	2	0	4	0	0	0	4	8	2	4	4	0	0	1	2
OTU_434	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0
OTU_435	2	2	2	0	0	1	0	0	0	0	2	1	1	1	3	0	0	0
OTU_436	3	2	20	3	3	10	1	0	0	5	4	0	0	4	1	0	0	0
OTU_437	2	2	8	4	3	3	3	1	0	4	16	2	2	15	7	0	1	0
OTU_438	2	9	7	6	3	13	2	0	0	5	10	8	9	6	8	0	1	0
OTU_439	5	3	4	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0
OTU_440	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_441	2	0	2	2	0	2	1	0	0	1	4	0	1	2	0	0	0	0
OTU_442	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0
OTU_443	1	1	3	2	0	3	1	3	0	1	2	3	3	3	1	0	0	1
OTU_444	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
OTU_445	2	1	3	1	2	7	2	3	0	1	0	1	1	0	0	0	0	1
OTU_446	1	0	8	0	3	2	2	0	0	1	0	0	0	0	0	0	0	1
OTU_447	0	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	1	0
OTU_448	6	8	5	3	5	8	0	0	0	4	2	0	0	4	3	0	1	0
OTU_449	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0
OTU_450	8	7	8	7	4	7	1	1	0	2	1	3	1	2	0	0	0	0
OTU_451	0	0	4	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_452	2	1	4	2	5	3	3	0	0	1	1	0	0	1	0	0	0	0
OTU_453	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_454	0	2	2	0	1	3	0	0	0	2	1	0	2	2	2	0	0	0
OTU_455	0	2	3	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0
OTU_456	2	1	3	1	1	5	0	0	0	1	2	0	4	0	0	0	1	0
OTU_457	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_458	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
OTU_459	3	3	3	4	0	1	1	0	0	1	3	2	0	0	1	0	0	0
OTU_460	1	0	2	0	0	7	0	0	0	1	0	0	1	0	0	0	0	0
OTU_461	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_462	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0
OTU_463	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU_464	2	7	2	3	2	8	0	0	0	4	1	1	2	0	2	0	0	3
OTU_465	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
OTU_466	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
OTU_467	0	1	2	1	2	3	2	0	0	1	1	0	0	1	1	0	1	1
OTU_468	1	3	2	1	3	6	0	0	0	2	2	0	1	2	0	0	0	0
OTU_469	3	1	2	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
OTU_470	1	1	2	1	0	2	1	0	0	1	0	0	3	0	1	0	0	0
OTU_471	2	2	2	2	0	4	0	0	0	3	4	3	5	1	4	0	0	0
OTU_472	1	0	5	0	5	5	3	1	0	1	1	0	0	1	1	0	0	0
OTU_473	0	1	1	1	1	1	0	0	0	2	1	0	1	1	2	0	0	0
OTU_474	2	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0
OTU_475	2	1	2	0	2	7	3	0	0	5	1	1	3	6	0	0	1	0
OTU_476	0	0	2	1	1	3	0	0	0	1	0	0	0	6	1	0	0	0
OTU_477	0	0	1	0	0	2	1	0	0	0	0	0	1	1	0	0	0	1
OTU_478	1	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_479	0	1	2	0	1	3	2	0	0	0	2	0	1	0	0	0	1	0
OTU_480	0	2	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
OTU_481	0	2	2	2	1	1	0	0	0	2	1	1	1	0	0	0	0	2
OTU_482	3	2	2	2	2	2	3	2	0	0	1	0	0	0	1	0	0	0
OTU_483	7	0	1	0	1	2	0	0	0	0	0	0	1	0	1	0	1	0
OTU_484	3	1	2	3	3	4	0	0	0	1	1	1	1	2	0	0	0	0
OTU_485	2	2	2	0	1	1	0	0	0	0	0	4	2	1	1	0	2	0
OTU_486	5	5	3	8	1	8	2	1	0	0	7	2	6	2	4	0	0	0
OTU_487	1	1	3	1	2	2	0	0	0	0	1	0	0	1	0	0	0	0
OTU_488	1	0	1	1	1	3	0	0	0	0	2	0	1	1	0	0	0	0
OTU_489	2	2	2	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0
OTU_490	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
OTU_491	0	0	1	0	0	1	0	0	0	0	0	1	1	1	2	0	0	0
OTU_492	2	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
OTU_493	2	0	3	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0
OTU_494	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_495	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0
OTU_496	0	5	1	2	2	4	1	0	0	1	1	0	2	0	1	0	0	0
OTU_497	0	0	1	0	1	0	5	0	0	1	0	0	0	0	0	0	0	0
OTU_498	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
OTU_499	2	0	1	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0
OTU_500	0	2	3	0	5	2	0	0	0	0	2	0	2	1	2	0	0	1
OTU_501	0	0	2	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0
OTU_502	5	3	1	1	6	6	1	0	0	2	4	1	4	1	4	0	0	0
OTU_503	1	0	2	0	2	0	0	2	0	0	1	1	1	0	0	0	0	0
OTU_504	2	0	1	1	3	3	0	0	0	1	0	2	1	1	0	0	0	0
OTU_505	3	4	1	0	0	2	1	0	0	3	1	1	0	0	3	0	0	1
OTU_506	1	2	1	2	1	2	0	2	0	3	2	3	0	1	5	0	1	0
OTU_507	4	0	1	2	1	0	0	0	0	0	1	0	0	1	1	0	0	0
OTU_508	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
OTU_509	0	2	1	0	2	3	2	0	0	1	4	2	0	0	1	0	2	0
OTU_510	0	1	1	1	1	2	0	1	0	0	1	0	0	1	0	0	0	0
OTU_511	1	0	1	0	1	0	1	0	0	2	0	0	1	0	0	0	2	1
OTU_512	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1
OTU_513	3	1	1	0	0	0	0	2	0	2	2	0	0	0	1	0	0	0
OTU_514	3	1	1	2	0	1	1	2	0	5	2	0	3	5	1	0	0	1
OTU_515	0	1	2	1	1	3	2	0	0	1	0	0	1	0	0	0	0	0
OTU_516	1	1	0	0	3	1	1	2	0	2	0	0	1	1	0	0	3	0
OTU_517	2	2	0	1	0	1	1	4	0	1	0	1	2	4	0	0	0	0
OTU_518	1	0	0	1	0	1	0	1	0	3	1	0	1	0	0	0	1	0
OTU_519	0	0	0	1	0	0	0	1	0	0	1	0	3	0	0	0	0	0
OTU_520	1	0	0	2	0	0	0	1	0	0	0	0	2	1	1	0	0	0
OTU_521	0	0	0	1	0	0	0	1	0	1	1	1	2	3	0	0	0	0
OTU_522	1	0	0	3	0	2	0	1	0	0	0	1	0	0	0	0	0	0
OTU_523	1	11	0	0	0	0	0	2	0	3	3	32	0	0	0	0	0	0
OTU_524	0	0	0	0	0	1	1	1	0	0	1	1	0	1	2	0	0	0
OTU_525	0	0	0	0	2	0	4	6	0	0	0	0	0	0	0	0	1	0
OTU_526	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0
OTU_527	1	3	0	3	0	1	0	1	0	1	1	0	0	0	0	0	0	0
OTU_528	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
OTU_529	5	5	0	1	4	2	0	1	0	3	4	2	0	0	3	0	0	2
OTU_530	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0
OTU_531	0	1	0	0	0	0	0	1	0	2	1	1	2	0	0	0	0	0
OTU_532	0	0	0	2	2	1	0	1	0	1	0	1	1	1	0	0	1	0
OTU_533	3	1	0	0	1	3	0	1	0	0	1	1	0	3	2	0	0	0
OTU_534	0	1	0	0	0	0	3	1	0	1	0	0	1	1	0	0	0	0
OTU_535	1	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0
OTU_536	1	1	0	1	1	1	0	1	0	1	2	0	0	1	0	0	0	0
OTU_537	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0
OTU_538	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0
OTU_539	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
OTU_540	1	1	0	2	0	0	0	1	0	0	0	0	0	1	1	0	1	1
OTU_541	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
OTU_542	0	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	1	0
OTU_543	2	1	0	2	0	1	1	1	0	0	0	1	0	0	1	0	0	0
OTU_544	2	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0
OTU_545	0	1	0	1	1	2	0	1	0	0	3	1	1	0	0	0	0	0
OTU_546	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_547	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_548	0	3	0	1	0	1	3	0	0	5	3	0	2	4	3	0	0	0
OTU_549	1	4	0	0	1	0	0	0	0	0	2	2	1	1	0	0	0	0
OTU_550	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
OTU_551	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
OTU_552	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_553	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_554	1	4	0	0	0	2	0	0	0	0	0	0	1	3	2	0	0	0
OTU_555	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
OTU_556	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_557	1	3	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU_558	1	3	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1
OTU_559	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_560	1	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
OTU_561	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_562	1	2	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_563	0	1	0	0	2	0	0	0	0	1	1	1	0	1	2	0	0	0
OTU_564	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_565	2	1	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0
OTU_566	1	2	0	0	1	2	1	0	0	2	1	0	0	0	1	0	0	0
OTU_567	1	6	0	3	1	1	0	0	0	1	3	2	0	1	2	0	1	0
OTU_568	1	2	0	0	2	4	0	0	0	2	1	0	1	0	0	0	0	0
OTU_569	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_570	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_571	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
OTU_572	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_573	3	3	0	2	1	0	1	0	0	0	1	2	5	2	4	0	1	0
OTU_574	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_575	0	1	0	0	0	0	1	0	0	3	2	0	2	1	4	0	0	0
OTU_576	0	1	0	0	0	0	0	0	0	3	1	1	0	3	1	0	0	0
OTU_577	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_578	1	1	0	0	3	1	1	0	0	1	2	0	2	1	1	0	0	0
OTU_579	1	1	0	0	2	2	2	0	0	2	2	3	4	3	1	0	0	0
OTU_580	0	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0
OTU_581	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
OTU_582	1	1	0	0	0	0	3	0	0	0	1	0	1	0	1	0	0	0
OTU_583	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
OTU_584	0	1	0	0	0	1	0	0	0	5	0	0	0	0	2	0	0	0
OTU_585	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0
OTU_586	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
OTU_587	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU_588	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU_589	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0
OTU_590	1	0	0	0	1	0	1	0	0	1	0	0	2	0	1	0	0	0
OTU_591	0	0	0	0	0	0	0	0	0	1	4	2	3	93	2	0	0	0
OTU_592	1	0	0	2	1	0	0	0	0	0	1	0	1	1	1	0	0	0
OTU_593	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_594	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0
OTU_595	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0
OTU_596	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0
OTU_597	0	0	0	2	0	0	0	0	0	1	2	0	1	1	3	0	0	0
OTU_598	1	0	0	0	0	4	1	0	0	0	2	0	0	1	1	0	0	0
OTU_599	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_600	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
OTU_601	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_602	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_603	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_604	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
OTU_605	1	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	1	0
OTU_606	2	0	0	0	0	0	1	0	0	2	8	12	0	0	0	0	0	0
OTU_607	1	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0
OTU_608	0	0	0	0	0	2	0	0	0	2	1	1	0	0	0	0	2	0
OTU_609	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
OTU_610	0	0	0	1	1	5	0	0	0	0	0	0	0	1	2	0	0	0
OTU_611	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
OTU_612	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_613	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0
OTU_614	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_615	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0
OTU_616	0	0	0	0	1	3	3	0	0	0	1	0	0	1	0	0	0	1
OTU_617	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	1	0
OTU_618	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
OTU_619	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
OTU_620	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
OTU_621	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
OTU_622	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1
OTU_623	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0
OTU_624	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_625	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_626	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_627	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_628	0	0	0	0	1	0	0	0	0	1	0	6	0	0	0	0	0	0
OTU_629	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_630	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_631	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_632	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU_633	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_634	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
OTU_635	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU_636	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_637	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_638	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_639	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU_640	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
OTU_641	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
