sample/otus	otu1	otu10	otu22	otu41	otu125	otu86	otu164	otu75	otu146	otu27	otu24	otu2	otu29	otu79	otu25	otu87	otu3	otu93	otu44	otu62	otu26	otu85	otu46	otu23	otu95	otu76	otu28	otu123	otu4	otu12	otu105	otu43	otu58	otu126	otu127	otu11	otu115	otu47	otu131	otu81	otu189	otu160	otu48	otu30	otu114	otu42	otu187	otu133	otu31	otu88	otu101	otu169	otu45	otu90	otu5	otu6	otu33	otu78	otu8	otu89	otu66	otu192	otu109	otu67	otu60	otu162	otu163	otu94	otu188	otu77	otu96	otu110	otu63	otu112	otu134	otu51	otu59	otu100	otu37	otu82	otu97	otu167	otu198	otu132	otu165	otu168	otu32	otu55	otu99	otu106	otu116	otu137	otu154	otu171	otu193	otu203	otu52	otu54	otu74	otu102	otu130	otu159	otu197	otu199	otu7	otu9	otu20	otu34	otu40	otu49	otu50	otu53	otu61	otu68	otu70	otu72	otu73	otu80	otu107	otu108	otu111	otu147	otu151	otu152	otu157	otu158	otu161	otu166	otu170	otu172	otu183	otu186	otu200
sample25	49	1411	283	83	0	11	2	14	0	4	23	4	6	0	5	0	1	1	1	0	37	0	6	1	0	0	3	0	1	0	0	0	0	0	0	2	1	0	0	0	0	121	0	1	0	0	0	0	3	0	0	0	0	3	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sample26	59	3	3	1	1128	1	1	1	0	146	1	0	0	1	0	0	38	164	0	0	0	522	0	3	0	0	12	1	0	0	0	1	0	16	1	0	0	0	1	0	52	0	0	34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample27	1240	0	310	53	28	0	0	33	0	0	66	0	80	0	45	0	2	3	0	58	0	2	1	72	1	0	5	7	0	0	0	1	13	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample28	679	1	220	252	1	21	3	17	0	9	46	6	68	5	11	0	3	4	2	0	47	0	8	5	0	0	5	2	1	0	0	14	0	0	0	9	9	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sample29	904	0	114	86	0	38	3	17	0	25	29	16	74	2	21	0	10	7	1	0	32	0	5	3	0	0	5	1	1	0	0	14	0	0	0	19	7	2	0	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample30	1076	0	144	447	0	148	8	10	0	9	37	9	25	3	16	0	9	10	3	0	24	0	2	6	2	0	6	11	5	0	0	15	2	0	0	7	4	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample31	305	293	14	43	0	0	18	9	0	69	6	435	2	0	64	2	56	98	1	1	56	1	176	0	2	0	2	0	76	0	0	1	0	0	0	0	17	5	1	121	0	0	0	0	0	0	0	0	14	0	0	0	0	0	6	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample32	1091	2	174	418	0	135	6	6	0	7	33	7	10	2	18	0	7	10	6	0	24	3	0	7	4	0	4	9	4	0	1	7	1	0	0	7	1	7	0	0	0	0	0	2	0	4	0	0	2	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample33	205	24	86	30	158	0	23	238	0	10	7	194	6	92	38	0	81	1	51	1	10	0	90	2	1	0	63	0	68	6	0	8	0	19	5	4	0	0	2	0	0	0	0	1	5	3	19	0	3	0	0	4	5	0	17	6	7	0	6	0	5	0	0	1	0	1	0	0	0	0	4	0	1	0	7	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
sample34	506	8	68	13	15	0	0	241	1	7	25	13	29	0	95	0	175	303	6	2	23	2	12	32	123	1	27	24	0	0	0	2	5	26	7	0	4	0	68	0	1	0	0	5	0	24	0	0	1	5	41	0	10	0	1	0	0	0	0	0	0	0	2	0	3	9	0	0	0	1	1	0	1	0	0	0	1	2	0	4	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
sample35	286	312	115	71	0	0	25	3	0	61	44	180	2	0	31	1	70	9	67	5	24	42	7	0	136	0	4	77	0	0	0	1	41	16	160	0	0	2	15	0	3	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample36	967	0	734	223	33	0	0	4	0	0	45	0	0	0	0	0	17	0	0	0	1	1	0	47	9	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	27	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample37	147	97	10	76	1	5	613	321	0	134	20	3	161	2	57	0	34	2	44	31	32	1	0	1	15	0	21	41	1	0	0	7	26	0	0	0	0	18	0	0	2	0	0	2	1	2	8	0	0	0	0	0	0	0	1	0	14	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample38	41	686	9	577	2	99	7	1	0	10	0	61	0	44	27	1	36	23	3	0	7	1	36	1	9	0	6	0	2	52	6	2	0	5	0	16	0	1	0	0	0	0	56	0	4	1	0	0	0	0	0	0	3	0	0	3	0	1	2	0	3	1	0	13	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
