OTUID	KO	OE	WT	All
ASV_289	0.03420226	0.09624705	0.06293598	0.064461762323789
ASV_242	0.06470562	0.06146249	0.06299561	0.0630545732730376
ASV_256	0.04594368	0.07760703	0.06706344	0.0635380494934367
ASV_276	0.05746171	0.06169476	0.06995134	0.0630359370051984
ASV_249	0.06980401	0.04753234	0.06692733	0.0614212258673206
ASV_228	0.05433527	0.06313884	0.06945946	0.0623111906439035
ASV_252	0.06261586	0.05137111	0.06953119	0.0611727183329335
ASV_250	0.04489577	0.05463292	0.08585480	0.0617944954169177
ASV_288	0.05386628	0.06985417	0.06248550	0.0620686522574042
ASV_258	0.07606900	0.05764426	0.04607719	0.0599301487488899
ASV_266	0.05326151	0.07506918	0.05778940	0.0620400288358371
ASV_254	0.07580711	0.07302085	0.03968622	0.0628380600474891
ASV_265	0.05081538	0.07367052	0.05944472	0.0613102063967652
ASV_251	0.10530446	0.02411989	0.04867188	0.059365408842638
ASV_259	0.04126036	0.06789673	0.07379762	0.0609849019823064
ASV_261	0.03364407	0.06146500	0.08583595	0.0603150035345781
ASV_1591	0.02388577	0.05066373	0.10483923	0.0597962442277957
ASV_230	0.04617043	0.04908761	0.08291757	0.0593918700583548
ASV_273	0.05669416	0.06174975	0.06102577	0.0598232238637765
ASV_263	0.06642145	0.06734327	0.04487483	0.059546516742119
ASV_247	0.01585231	0.08129267	0.08282246	0.0599891432300278
ASV_255	0.04311025	0.08035106	0.05791975	0.0604603535334417
ASV_301	0.07610000	0.05897905	0.04295339	0.0593441479290939
ASV_257	0.08615861	0.04157437	0.04689073	0.0582079054517019
ASV_286	0.03928961	0.08014177	0.05990161	0.0597776652388928
ASV_264	0.05462248	0.06261297	0.05937529	0.0588702440877622
ASV_253	0.08137352	0.03620393	0.05367778	0.057085075089107
ASV_267	0.07100596	0.03425743	0.06550573	0.0569230382634527
ASV_283	0.04462546	0.06162380	0.06859828	0.0582825125337418
ASV_278	0.07605796	0.04933667	0.04597726	0.0571239644838387
ASV_294	0.03603960	0.08421383	0.05647730	0.0589102457896525
ASV_281	0.06103802	0.06589478	0.04724883	0.0580605461437627
ASV_239	0.06259254	0.03764828	0.06767785	0.0559728919940107
ASV_271	0.04815047	0.08722139	0.04025608	0.0585426486578872
ASV_241	0.03695619	0.06970812	0.06339240	0.0566855671309108
ASV_306	0.06062884	0.04650049	0.05991894	0.0556827548566386
ASV_324	0.05853578	0.04868352	0.05923030	0.0554832004771328
ASV_269	0.06453094	0.04457248	0.05586034	0.0549879192358706
ASV_280	0.06511632	0.05106515	0.04964787	0.0552764460763288
ASV_322	0.12050074	0.02504847	0.01529833	0.0536158464857956
ASV_262	0.05676756	0.05047905	0.05893034	0.0553923147275997
ASV_300	0.05755800	0.05595752	0.05110921	0.0548749093237884
ASV_421	0.03207044	0.06848611	0.06659249	0.0557163486231397
ASV_284	0.05705939	0.06857327	0.04086118	0.0554979440842416
ASV_342	0.05570402	0.06536938	0.04426646	0.0551132893360502
ASV_260	0.04520914	0.06621848	0.05363821	0.0550219407487659
ASV_282	0.08521692	0.03937707	0.03532821	0.0533073993283301
ASV_275	0.06007244	0.03082523	0.06594407	0.0522805800852968
ASV_312	0.08153843	0.04115161	0.03588437	0.052858136499816
ASV_277	0.07507633	0.04139841	0.04075095	0.0524085626595683
ASV_291	0.05345253	0.05095155	0.05399889	0.0528009901210423
ASV_268	0.04673230	0.07010366	0.04423677	0.0536909088999962
ASV_327	0.04019851	0.07358619	0.04870349	0.0541627273380598
ASV_270	0.06087515	0.04853417	0.04941700	0.0529421088068037
ASV_321	0.05959274	0.04900691	0.04924952	0.0526163907392719
ASV_272	0.03615926	0.06464229	0.05783705	0.0528795315389309
ASV_287	0.05175996	0.06468158	0.04114414	0.0525285602523221
ASV_331	0.07277211	0.03770188	0.04416558	0.051546520477026
ASV_285	0.04215888	0.05831342	0.05689463	0.0524556435036264
ASV_305	0.03280015	0.05838194	0.06332372	0.0515019375536077
ASV_308	0.07435087	0.04568083	0.03283106	0.050954256011502
ASV_297	0.04441945	0.07522996	0.03660127	0.0520835595473919
ASV_292	0.06819703	0.03734244	0.04326192	0.0496004646264681
ASV_307	0.08222529	0.03075572	0.03545956	0.0494801905680422
ASV_295	0.05048634	0.05324754	0.04551875	0.0497508788630461
ASV_323	0.05483426	0.04401164	0.04783415	0.0488933495894178
ASV_296	0.02013943	0.07921965	0.05154918	0.0503027559201448
ASV_314	0.03537764	0.06696988	0.04665156	0.0496663602308599
ASV_316	0.02354602	0.03299242	0.08827031	0.0482695828144403
ASV_317	0.08470548	0.03703803	0.02476438	0.0488359623875432
ASV_302	0.01600190	0.07590338	0.05644199	0.0494490907158283
ASV_310	0.02568499	0.07992445	0.04366390	0.0497577804766102
ASV_303	0.02759736	0.06879742	0.05065774	0.0490175038096959
ASV_345	0.03880296	0.06263021	0.04528590	0.0489063573723554
ASV_311	0.02476042	0.07805080	0.04375401	0.0488550761442272
ASV_356	0.03603201	0.05391718	0.05401127	0.0479868196117933
ASV_290	0.05058194	0.04689795	0.04589350	0.0477911296852692
ASV_354	0.05346015	0.04884026	0.04119933	0.047833245035491
ASV_293	0.02980848	0.06135213	0.05063947	0.0472666944731738
ASV_304	0.02969212	0.06095713	0.05317098	0.047940076318149
ASV_2250	0.07785840	0.02912645	0.03478969	0.0472581790816225
ASV_299	0.05457485	0.03111641	0.05378171	0.0464909905062696
ASV_315	0.05193141	0.03934511	0.04766720	0.046314573062139
ASV_298	0.06214463	0.02818815	0.04442601	0.044919595978707
ASV_330	0.05074182	0.04869573	0.03636451	0.0452673534874672
ASV_351	0.03952134	0.08161449	0.02051689	0.0472175723922934
ASV_319	0.05013914	0.03456851	0.04902008	0.0445759116793388
ASV_343	0.04433517	0.04130897	0.04935522	0.0449997884483842
ASV_360	0.03751808	0.04704143	0.04979612	0.0447852100974899
ASV_378	0.04572768	0.04298801	0.04547086	0.044728848740554
ASV_349	0.05597722	0.04303624	0.03474741	0.0445869568111034
ASV_309	0.04593391	0.04079255	0.04614730	0.0442912527554477
ASV_340	0.03181399	0.06036902	0.04304098	0.0450746645885847
ASV_339	0.06829976	0.03826751	0.02462041	0.0437292259373248
ASV_333	0.03104350	0.05312777	0.04973599	0.0446357524382682
ASV_346	0.04070476	0.05580051	0.03652198	0.0443424158115329
ASV_335	0.02583285	0.07194212	0.03578958	0.0445215197680907
ASV_336	0.06609933	0.03425095	0.02817117	0.0428404834413874
ASV_344	0.06433713	0.03044083	0.03394189	0.0429066158863656
ASV_338	0.08292374	0.01261206	0.03079541	0.042110402362192
ASV_369	0.04997794	0.04650220	0.03467956	0.0437198985274278
ASV_325	0.02184817	0.06607782	0.04509795	0.0443413122442033
ASV_362	0.03611333	0.05806850	0.03740404	0.0438619557909461
ASV_347	0.04551972	0.04824192	0.03572846	0.0431633643343749
ASV_313	0.03042599	0.04670863	0.05102370	0.0427194435525913
ASV_318	0.02561148	0.04076325	0.06081884	0.0423978584896079
ASV_371	0.03715677	0.04094001	0.04943104	0.0425092741902935
ASV_387	0.04830049	0.05583708	0.02552751	0.0432216924569063
ASV_320	0.05271593	0.02486990	0.04833672	0.0419741845914365
ASV_332	0.05015859	0.03776966	0.03940530	0.0424445193459898
ASV_366	0.04706578	0.04009613	0.03951445	0.0422254538202569
ASV_376	0.02707274	0.08128440	0.02293438	0.0437638418449865
ASV_370	0.02612613	0.05500749	0.04651157	0.0425483982939024
ASV_372	0.03550824	0.05355480	0.03788543	0.0423161575353945
ASV_357	0.05003098	0.03072234	0.04152341	0.0407589099870919
ASV_364	0.01994290	0.07467345	0.03384034	0.0428188969059147
ASV_396	0.03195864	0.04623733	0.04698857	0.0417281800863771
ASV_334	0.02094118	0.05661401	0.04783097	0.0417953845260799
ASV_337	0.02993711	0.05926808	0.03847646	0.0425605496297708
ASV_350	0.02677130	0.02705511	0.06781954	0.0405486476390208
ASV_379	0.06285321	0.02721959	0.03377882	0.0412838707557686
ASV_348	0.01842649	0.05546932	0.05157110	0.0418223057252569
ASV_391	0.06903948	0.02181547	0.03027280	0.0403759162305313
ASV_388	0.03462980	0.05348001	0.03600146	0.0413704250147757
ASV_353	0.04718126	0.04240115	0.03228137	0.0406212598041532
ASV_394	0.03377602	0.03379729	0.05343190	0.0403350673339399
ASV_341	0.04498832	0.03319657	0.04200789	0.0400642586436382
ASV_382	0.03732318	0.05541956	0.03126805	0.0413369311965328
ASV_374	0.03100182	0.05310357	0.03851311	0.0408728335545026
ASV_393	0.04584330	0.03605884	0.03748124	0.0397944593318176
ASV_439	0.03271433	0.04871480	0.03929079	0.0402399726148617
ASV_373	0.03330311	0.04407609	0.04235798	0.0399123899058653
ASV_555	0.03500587	0.04171229	0.04136519	0.039361114950283
ASV_352	0.03151402	0.05491100	0.03313273	0.0398525836052632
ASV_361	0.04269907	0.04383150	0.03125657	0.0392623782040591
ASV_426	0.04993202	0.03766658	0.02917932	0.0389259730330319
ASV_329	0.01799790	0.04524423	0.05410984	0.0391173246297782
ASV_363	0.03226287	0.03547853	0.04776766	0.0385030205857631
ASV_355	0.03638820	0.04659631	0.03360366	0.0388627246034293
ASV_407	0.03498289	0.03164459	0.04750620	0.0380445578151133
ASV_359	0.04560760	0.04179677	0.02860979	0.038671383874868
ASV_490	0.03577802	0.04335531	0.03487842	0.0380039170269835
ASV_365	0.05089405	0.02052473	0.03802218	0.0364803217629102
ASV_383	0.02262553	0.04189331	0.04869258	0.0377371395641913
ASV_381	0.03087158	0.04817353	0.03442568	0.0378235970641053
ASV_358	0.03558468	0.03937817	0.03665412	0.0372056585271505
ASV_402	0.05117682	0.03280339	0.02540881	0.0364630100474971
ASV_401	0.02984394	0.04326694	0.03806885	0.0370599091591359
ASV_400	0.03378022	0.03867766	0.03704685	0.0365015751325012
ASV_414	0.02595361	0.05562518	0.02964079	0.0370731907333412
ASV_389	0.05137125	0.03312742	0.02286531	0.0357879924493954
ASV_435	0.03487538	0.03964846	0.03395562	0.0361598188036951
ASV_441	0.04635694	0.03238103	0.02661196	0.035116643581287
ASV_375	0.03389133	0.03683019	0.03534136	0.0353542926250236
ASV_395	0.03465924	0.04169914	0.03120239	0.0358535917960585
ASV_405	0.05506082	0.02526799	0.02495694	0.0350952502980668
ASV_413	0.02931986	0.03270916	0.04375841	0.0352624756519955
ASV_458	0.04344511	0.04824829	0.01746367	0.0363856904299084
ASV_461	0.02892780	0.04603360	0.03295625	0.0359725495659811
ASV_385	0.03540992	0.03529613	0.03509177	0.0352659406537025
ASV_380	0.02790043	0.04324471	0.03503681	0.0353939859826267
ASV_404	0.02710732	0.04869254	0.03171124	0.0358370317963865
ASV_418	0.03806105	0.03762292	0.03087980	0.0355212585230691
ASV_2902	0.01213911	0.05066301	0.04475221	0.0358514403582105
ASV_445	0.03776180	0.04046129	0.02784064	0.0353545757640273
ASV_556	0.04524877	0.03854442	0.02231682	0.035370003653972
ASV_384	0.03322235	0.02876023	0.04129063	0.0344244015034197
ASV_412	0.03724069	0.02980938	0.03650894	0.0345196688181629
ASV_417	0.03722327	0.04236783	0.02583189	0.0351409986017548
ASV_386	0.03106450	0.03694303	0.03755738	0.035188306413631
ASV_422	0.04034123	0.03015445	0.03267428	0.0343899870377505
ASV_398	0.03130038	0.04598051	0.02694157	0.0347408159550884
ASV_419	0.03687735	0.04299823	0.02285305	0.0342428787003857
ASV_433	0.03676564	0.02551654	0.04002346	0.0341018812908803
ASV_438	0.05079133	0.03299746	0.01882546	0.0342047502347501
ASV_416	0.04737095	0.03863030	0.01801170	0.0346709835287244
ASV_367	0.04541359	0.03085682	0.02469903	0.0336564781352824
ASV_377	0.03038032	0.04396229	0.02822369	0.0341887620198156
ASV_425	0.01430409	0.05498972	0.03506379	0.0347858672309276
ASV_436	0.03644411	0.03552670	0.02942684	0.0337992168958651
ASV_593	0.03958412	0.02876961	0.03226557	0.0335397678451526
ASV_420	0.03464549	0.04026733	0.02594293	0.0336185850381673
ASV_409	0.04256618	0.03476873	0.02268732	0.0333407430186589
ASV_460	0.05164160	0.01460360	0.02980304	0.0320160787296331
ASV_392	0.03223936	0.02379661	0.04100408	0.0323466822330323
ASV_397	0.02243849	0.05041275	0.02734437	0.0333985377405062
ASV_411	0.03295202	0.02720154	0.03755821	0.0325705895502575
ASV_427	0.02396885	0.02677408	0.04729812	0.0326803530258908
