OTUID	Mean	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_153	0.1075	0.0963	0.0969	0.2465	0.0472	0.0436	0.0623	0.1357	0.1086	0.1127	0.1063	0.1141	0.1124	0.0722	0.1329	0.1286	0.1734	0.0587	0.0861
ASV_163	0.1067	0.0753	0.1301	0.0693	0.084	0.0462	0.0731	0.1296	0.1448	0.1184	0.1093	0.1321	0.1999	0.1417	0.0756	0.1122	0.0921	0.0854	0.1022
ASV_162	0.1057	0.1295	0.1246	0.1515	0.1365	0.0308	0.1218	0.2005	0.0845	0.1156	0.1093	0.1021	0.1624	0.0776	0.0365	0.1258	0.0488	0.056	0.0888
ASV_140	0.1055	0.1114	0.0997	0.1258	0.1365	0.2028	0.1652	0.1049	0.0694	0.0549	0.0941	0.1171	0.05	0.0508	0.1095	0.1012	0.1003	0.1334	0.0726
ASV_150	0.1049	0.1084	0.0969	0.1002	0.0945	0.1001	0.1218	0.0833	0.0724	0.0809	0.1002	0.0961	0.1155	0.1016	0.1042	0.1724	0.1301	0.1041	0.1049
ASV_172	0.1045	0.0933	0.072	0.018	0.0367	0.0282	0.0514	0.3054	0.1508	0.1502	0.2308	0.1141	0.4466	0.0214	0.013	0.0492	0.0244	0.0267	0.0484
ASV_144	0.1038	0.1355	0.0415	0.0488	0.1234	0.1232	0.0866	0.1697	0.1418	0.1184	0.1518	0.0841	0.0874	0.1364	0.0964	0.0875	0.0813	0.0881	0.0672
ASV_151	0.1036	0.2679	0.1716	0.0334	0.1129	0.0539	0.0704	0.1511	0.1026	0.13	0.1215	0.0811	0.0874	0.1123	0.073	0.1231	0.0786	0.0267	0.0672
ASV_148	0.103	0.1686	0.1716	0.095	0.0499	0.0462	0.0866	0.1419	0.0905	0.0809	0.0668	0.1502	0.1343	0.0749	0.0599	0.1724	0.0948	0.0454	0.1237
ASV_147	0.1025	0.1355	0.1938	0.1284	0.0604	0.0616	0.1733	0.1419	0.0573	0.0664	0.082	0.1171	0.0687	0.0455	0.1147	0.0602	0.0867	0.1708	0.0807
ASV_159	0.1025	0.1656	0.108	0.0154	0.0341	0.018	0.0406	0.0987	0.0995	0.1531	0.1427	0.1141	0.0656	0.1043	0.0886	0.2298	0.1463	0.1201	0.0995
