"","ID","i","index","Group"
"192","OE6",1100,161.419423692636,"OE"
"193","WT1",1100,81.2953507121742,"WT"
"194","WT2",1100,54.6423410404624,"WT"
"195","WT3",1100,124.767993400701,"WT"
"196","WT4",1100,106.121733029293,"WT"
"197","WT5",1100,88.3598656345845,"WT"
"198","WT6",1100,106.252195293291,"WT"
"199","KO1",1200,90.8059023836549,"KO"
"200","KO2",1200,118.421052631579,"KO"
"201","KO3",1200,69.4109707895498,"KO"
"202","KO4",1200,83.8965276159403,"KO"
"203","KO5",1200,69.1244239631336,"KO"
"204","KO6",1200,93.167701863354,"KO"
"205","OE1",1200,170.616113744076,"OE"
"206","OE2",1200,87.7727660611971,"OE"
"207","OE3",1200,79.9289520426288,"OE"
"208","OE4",1200,107.334525939177,"OE"
"209","OE5",1200,120.562625586068,"OE"
"210","OE6",1200,136.518771331058,"OE"
"211","WT1",1200,88.4738264929958,"WT"
"212","WT2",1200,65.4129190515127,"WT"
"213","WT3",1200,126.515550869794,"WT"
"214","WT4",1200,108.548168249661,"WT"
"215","WT5",1200,83.955223880597,"WT"
"216","WT6",1200,99.8336106489185,"WT"
"217","KO1",1300,97.4850023073373,"KO"
"218","KO2",1300,113.529490796722,"KO"
"219","KO3",1300,80.9697201993101,"KO"
"220","KO4",1300,88.8725283971392,"KO"
"221","KO5",1300,62.2421921037124,"KO"
"222","KO6",1300,112.531628712212,"KO"
"223","OE1",1300,168.494516450648,"OE"
"224","OE2",1300,111.905707853264,"OE"
"225","OE3",1300,88.5094794176181,"OE"
"226","OE4",1300,107.410702936316,"OE"
"227","OE5",1300,130.744236422714,"OE"
"228","OE6",1300,170.776071139854,"OE"
"229","WT1",1300,73.6190974037289,"WT"
"230","WT2",1300,67.4812330298674,"WT"
"231","WT3",1300,117.507996106244,"WT"
"232","WT4",1300,107.16550412175,"WT"
"233","WT5",1300,76.1604326273096,"WT"
"234","WT6",1300,112.054104230208,"WT"
"235","KO1",1400,89.8752751283933,"KO"
"236","KO2",1400,113.570518020628,"KO"
"237","KO3",1400,81.9055578771417,"KO"
"238","KO4",1400,89.6368791731455,"KO"
"239","KO5",1400,58.4272342455136,"KO"
"240","KO6",1400,118.371784031888,"KO"
"241","OE1",1400,174.625801853172,"OE"
"242","OE2",1400,101.512326496789,"OE"
"243","OE3",1400,94.9428405347801,"OE"
"244","OE4",1400,117.168818747011,"OE"
"245","OE5",1400,123.177476118653,"OE"
"246","OE6",1400,182.563338301043,"OE"
"247","WT1",1400,80.9716599190283,"WT"
"248","WT2",1400,60.6285572878001,"WT"
"249","WT3",1400,131.384904142646,"WT"
"250","WT4",1400,94.1945405613226,"WT"
"251","WT5",1400,72.3300612591335,"WT"
"252","WT6",1400,104.611443210931,"WT"
"253","KO1",1500,86.4121668330901,"KO"
"254","KO2",1500,93.1522729154591,"KO"
"255","KO3",1500,74.5131805537157,"KO"
"256","KO4",1500,84.6246426959531,"KO"
"257","KO5",1500,64.7221263375906,"KO"
"258","KO6",1500,96.0143381411624,"KO"
"259","OE1",1500,158.629441624365,"OE"
"260","OE2",1500,103.849349210745,"OE"
"261","OE3",1500,80.8770668583753,"OE"
"262","OE4",1500,110.43486796898,"OE"
"263","OE5",1500,139.873181648639,"OE"
"264","OE6",1500,181.188597197616,"OE"
"265","WT1",1500,83.3703868385949,"WT"
"266","WT2",1500,73.6690459040011,"WT"
"267","WT3",1500,116.147016312203,"WT"
"268","WT4",1500,110.142941061288,"WT"
"269","WT5",1500,85.7796416317194,"WT"
"270","WT6",1500,113.716769432932,"WT"
"271","KO1",1600,99.055873703761,"KO"
"272","KO2",1600,112.448387946938,"KO"
"273","KO3",1600,81.2801625603251,"KO"
"274","KO4",1600,81.7056044938083,"KO"
"275","KO5",1600,60.1871444021254,"KO"
"276","KO6",1600,106.934001670844,"KO"
"277","OE1",1600,178.347498954995,"OE"
"278","OE2",1600,103.142626913779,"OE"
"279","OE3",1600,85.2140336861727,"OE"
"280","OE4",1600,115.263394867177,"OE"
"281","OE5",1600,142.729705619982,"OE"
"282","OE6",1600,179.146256123163,"OE"
"283","WT1",1600,82.4848562959144,"WT"
"284","WT2",1600,65.5704113518775,"WT"
"285","WT3",1600,140.659340659341,"WT"
"286","WT4",1600,100.716028011645,"WT"
"287","WT5",1600,84.072249589491,"WT"
"288","WT6",1600,107.671601615074,"WT"
"289","KO1",1700,92.7114076735532,"KO"
"290","KO2",1700,105.2976754354,"KO"
"291","KO3",1700,92.0558068420717,"KO"
"292","KO4",1700,84.493041749503,"KO"
"293","KO5",1700,65.7655197524122,"KO"
"294","KO6",1700,108.933283075763,"KO"
"295","OE1",1700,172.516714422159,"OE"
"296","OE2",1700,116.7959909473,"OE"
"297","OE3",1700,87.7939121453308,"OE"
"298","OE4",1700,123.177904696957,"OE"
"299","OE5",1700,155.610596597028,"OE"
"300","OE6",1700,154.297917778964,"OE"
"301","WT1",1700,93.8007140538786,"WT"
"302","WT2",1700,67.1593232942926,"WT"
"303","WT3",1700,132.641821185974,"WT"
"304","WT4",1700,95.5245587360349,"WT"
"305","WT5",1700,90.8290904519454,"WT"
"306","WT6",1700,100.830367734282,"WT"
"307","KO1",1800,105.010695533804,"KO"
"308","KO2",1800,130.183220829315,"KO"
"309","KO3",1800,81.5545710833669,"KO"
"310","KO4",1800,94.0493468795355,"KO"
"311","KO5",1800,64.3674507310871,"KO"
"312","KO6",1800,108.651911468813,"KO"
"313","OE1",1800,188.569433127692,"OE"
"314","OE2",1800,113.956105796286,"OE"
"315","OE3",1800,76.6718727814852,"OE"
"316","OE4",1800,115.392834247454,"OE"
"317","OE5",1800,134.988750937422,"OE"
"318","OE6",1800,174.249757986447,"OE"
"319","WT1",1800,74.9652938454419,"WT"
"320","WT2",1800,57.1953113966954,"WT"
"321","WT3",1800,131.142232656035,"WT"
"322","WT4",1800,105.509964830012,"WT"
"323","WT5",1800,82.2878041347082,"WT"
"324","WT6",1800,115.081338353342,"WT"
"325","KO1",1900,92.4455825864277,"KO"
"326","KO2",1900,106.332842415317,"KO"
"327","KO3",1900,91.1708253358925,"KO"
"328","KO4",1900,93.717549325026,"KO"
