Features	S100001	S100003	S100009	S100015	S100016	S100043	S100046	S100047	S100048	S100049	S100051	S100052	S100058	S100060	S100062	S100065	S100068	S100070	S100071	S100072	S100074	S100075	S100077	S100078	S100080	S100083	S100084	S100085	S100086	S100087	S100088	S100089	S100090	S100091	S100092	S100095	S100096	S100099	S100100	S100101	S100102	S100104	S100105	S100106	S100107	S100109	S100115	S100117	S100128	S100143	S100144	S100150	S100151	S100154	S100155	S100156	S100158	S100160	S100161	S100162	S100163	S100164	S100165	S100166	S100167	S100168	S100169	S100170	S100171	S100172	S100173	S100174	S100175	S100176	S100177	S100178	S100180	S100181	S100182	S100183	S100184	S100187	S100188	S100190	S100191	S100192	S100195	S100196	S100197	S100198	S100200	S100202	S100203	S100204	S100205	S100206	S100207	S100209	S100210	S100211	S100212	S100214	S100216	S100217	S100219	S100220	S100221	S100222	S100224	S100225	S100226	S100227	S100228	S100229	S100233	S100234	S7003A	S7003B	S7007	S7010	S7016	S7018	S7021	S7022	S7035	S7037	S7039	S7043	S7049	S7052	S7059	S7061	S7064	S7072	S7077A	S7077B	S7079	S7085	S7094A	S7094B	S7094C	S7095	S7097	S7102	S7111	S7116	S7117	S7123	S7124	S7125	S7126	S7129	S7130	S7134	S7135	S7141	S7145	S7153	S7154	S7156	S7160	S7164	S7168	S7174	S7175A	S7175B	S7178A	S7178B	S7181	S7185	S7200	S7221	S7225	S7228	S7233	S7242A	S7242B	S7250	S7251	S7265	S7267	S7284	S7287	S7295	S7298	S7313	S7325	S7347	S7352	S7355	S7356	S7360	S7361	S7365	S7385	S7429	S7454	S7584	S7594	S7610	S7614	S7615	S7621	S7624	S7632	S7662	S7664	S7749	S7775	S7844	S7848	S7855	S7858	S7859	S7860	S7861	S7862	S7870	S7871	S7879	S7899	S7904	S7906	S7908	S7909	S7910	S7911	S7912
EGFR_tyrosine_kinase_inhibitor_resistance	199.60	234.38	129.78	153.02	274.46	212.59	186.30	240.38	295.95	229.30	254.42	148.51	209.28	257.27	247.31	175.07	216.54	256.71	214.00	278.64	215.71	168.22	268.20	202.88	251.12	207.79	196.69	245.14	200.59	264.83	220.46	208.51	240.84	296.88	263.01	226.85	230.35	199.50	114.72	262.28	197.02	193.41	196.61	235.46	234.31	247.60	58.48	142.70	237.45	243.44	142.35	226.06	245.38	245.85	246.89	227.68	207.51	261.29	195.01	217.87	251.34	160.10	242.84	234.45	177.68	199.92	298.84	267.34	197.07	222.84	219.41	275.32	179.93	304.18	284.91	229.79	205.69	180.22	173.18	167.71	187.59	176.91	215.81	236.78	231.37	153.11	173.29	157.84	250.40	234.09	220.84	133.50	173.37	232.96	218.59	231.48	219.20	227.80	207.37	303.39	258.39	290.71	202.37	114.15	211.34	210.95	284.70	247.94	208.63	239.69	156.94	215.19	156.20	203.35	175.13	244.37	147.03	123.37	42.21	72.30	204.97	165.08	127.92	96.44	46.60	170.33	192.84	106.82	56.97	156.41	159.76	118.66	66.38	158.44	159.50	151.03	197.86	69.28	125.43	75.81	79.00	183.05	145.87	183.77	245.87	144.14	143.24	189.40	201.70	134.47	79.02	211.69	126.05	196.56	165.56	213.01	146.78	128.30	184.21	217.24	95.18	139.74	194.53	217.32	216.37	155.53	140.74	193.32	149.16	60.70	124.00	207.65	154.97	211.31	237.54	130.91	149.35	206.25	101.81	201.75	251.76	162.86	170.04	89.84	213.77	160.01	120.51	188.34	120.95	235.81	188.34	129.65	214.31	243.03	147.69	176.09	167.72	128.55	160.95	199.97	161.38	147.62	239.16	147.31	48.20	121.34	149.60	46.35	243.87	220.41	199.67	226.58	275.87	208.72	196.49	224.26	252.43	189.98	203.75	219.73	188.97	186.77	244.51	224.03	177.75	222.20	191.61	237.08
Endocrine_resistance	212.07	238.98	136.52	158.13	278.48	216.91	198.61	243.09	299.40	235.18	262.81	152.43	218.47	259.10	250.64	183.08	220.26	262.65	220.98	288.81	224.04	193.16	278.39	210.05	257.21	211.80	203.88	249.75	205.33	271.73	225.51	213.24	242.59	306.45	274.96	230.20	236.14	203.10	125.65	272.73	208.73	202.98	204.25	241.90	241.86	253.20	79.20	145.88	245.24	253.78	144.73	229.26	262.27	250.09	259.96	244.40	211.18	262.32	198.12	224.21	270.62	171.15	252.76	238.01	188.73	205.31	311.98	275.80	208.47	232.09	226.12	276.13	196.55	324.36	295.40	234.62	219.69	187.55	184.38	172.48	194.30	181.87	220.06	247.86	233.19	161.42	182.42	167.48	252.33	235.68	226.09	139.31	177.34	249.20	231.43	236.95	227.58	234.08	216.95	326.03	261.46	293.61	205.52	119.28	217.31	223.34	306.16	252.92	213.62	259.19	163.29	233.59	163.69	212.03	182.87	252.59	153.42	128.89	47.77	80.74	206.30	183.49	131.45	120.97	47.90	173.39	195.14	107.89	59.00	183.22	186.99	145.24	102.83	171.13	194.30	154.60	199.89	70.68	153.89	81.18	82.78	255.75	148.44	188.63	250.85	161.78	145.90	197.86	204.09	136.89	79.86	216.04	136.78	234.14	185.88	218.14	149.20	131.06	188.35	219.37	111.20	144.76	197.67	218.96	218.60	157.94	141.49	197.29	164.16	65.06	140.31	208.72	165.66	216.10	242.06	139.19	192.73	210.24	105.84	205.55	267.52	180.06	174.43	95.79	218.13	168.82	123.71	197.46	133.08	239.52	191.80	132.41	216.53	245.79	169.47	181.74	189.65	131.04	163.35	201.06	165.79	162.16	243.82	156.41	53.19	128.77	153.35	50.44	254.57	225.41	205.62	235.43	279.57	212.44	200.57	238.44	258.63	202.64	214.34	229.27	191.45	189.32	249.22	230.53	181.62	229.76	202.00	246.57
Antifolate_resistance	404.12	387.16	483.04	300.56	381.62	451.26	414.48	373.18	421.99	404.95	502.97	368.74	445.83	363.97	345.49	305.16	354.08	433.16	371.24	458.60	416.09	341.45	497.72	415.33	530.55	418.61	334.74	457.49	344.62	447.88	440.35	377.06	370.02	475.53	454.74	345.21	381.39	374.67	225.98	475.69	399.98	385.80	363.30	417.70	387.24	428.06	238.83	345.78	477.45	423.45	323.89	367.82	430.81	477.94	480.17	417.51	367.05	535.39	352.38	463.42	499.86	394.26	452.13	379.30	345.38	350.75	589.82	395.21	403.40	418.32	418.90	338.68	376.73	591.39	625.18	404.57	410.95	343.36	343.11	275.18	414.23	492.40	464.78	451.80	388.97	321.27	343.91	315.94	445.72	378.28	421.65	322.59	363.26	451.15	456.24	403.33	396.71	419.30	417.31	578.33	407.59	391.36	468.34	300.90	389.90	440.42	549.04	390.48	437.72	493.40	330.53	438.51	360.88	393.82	413.95	426.05	358.69	328.24	104.72	177.81	343.26	365.50	220.51	231.28	128.16	313.64	302.69	155.82	111.72	439.25	480.43	299.23	275.63	394.16	410.13	213.97	346.83	189.33	374.48	193.97	204.53	585.78	263.40	339.61	348.53	394.98	277.40	411.22	299.68	263.44	190.25	374.89	334.50	444.32	430.77	464.27	222.13	274.34	296.83	364.13	241.98	351.09	287.55	336.54	398.88	357.16	241.17	326.96	307.21	126.03	322.76	356.91	400.44	329.09	341.17	329.38	410.00	279.85	269.98	347.23	431.30	500.62	378.01	243.89	375.23	332.64	302.71	365.17	295.50	350.33	324.55	251.67	371.52	410.54	321.35	305.80	330.25	215.46	392.38	356.61	364.93	332.10	374.84	328.76	138.82	188.48	266.15	96.02	473.26	389.62	342.17	380.18	424.71	313.84	371.17	434.67	383.69	361.91	382.84	371.37	346.83	341.12	386.48	332.98	322.69	360.96	388.71	417.30
Platinum_drug_resistance	1076.49	1164.84	1173.77	834.58	1316.35	1114.11	1095.26	1194.67	1402.30	1251.80	1356.83	811.20	1165.75	1225.43	1184.34	904.33	1111.76	1219.81	1097.24	1385.80	1172.83	931.80	1403.29	1193.49	1352.00	1110.03	988.54	1249.47	1020.62	1351.79	1172.82	1092.16	1163.10	1495.54	1323.15	1131.87	1178.51	1078.77	600.45	1365.99	1051.83	1001.44	1041.13	1200.37	1185.45	1295.28	647.69	833.84	1252.73	1232.38	830.01	1144.12	1217.10	1331.51	1345.98	1123.91	1061.66	1533.75	1049.74	1195.71	1295.06	895.35	1236.13	1192.33	896.59	1027.21	1611.11	1300.98	1084.50	1221.63	1186.76	1302.55	1063.27	1606.23	1536.34	1201.16	1082.41	921.86	946.88	832.95	979.92	1329.21	1208.18	1256.98	1150.23	780.76	930.01	825.25	1302.30	1141.06	1175.73	770.29	976.77	1183.70	1154.18	1203.34	1142.59	1268.12	1035.70	1507.46	1310.13	1411.91	1076.76	718.19	1120.44	1106.94	1464.76	1249.47	1134.96	1323.96	895.07	1159.86	901.61	1098.12	1091.21	1226.99	823.50	730.29	263.62	436.84	1020.81	892.73	658.16	656.82	297.21	923.17	971.41	528.45	315.58	1102.50	1322.67	786.52	764.51	894.22	1115.60	725.04	1030.08	423.49	894.38	461.77	477.37	2028.20	749.06	926.96	1127.18	972.57	769.71	1089.61	970.50	718.52	503.52	1151.70	742.97	1327.89	1050.46	1247.37	723.45	740.22	937.11	1150.73	589.46	759.88	975.33	1110.85	1143.35	829.06	723.48	967.14	780.07	323.10	758.74	1096.25	1112.97	1052.50	1195.39	865.67	1099.53	1022.24	582.93	1065.51	1353.27	1111.89	996.17	541.69	1092.13	881.29	702.04	1041.69	772.46	1175.39	981.84	715.46	1108.74	1264.42	1075.18	882.55	957.94	649.70	924.51	1021.24	878.23	938.86	1189.79	950.42	310.64	707.75	770.32	246.23	1258.88	1192.77	1040.30	1176.82	1392.46	1038.22	993.55	1150.38	1253.14	961.52	1039.36	1178.37	1003.99	971.01	1237.76	1081.50	936.23	1112.72	1021.05	1239.89
ABC_transporters	1523.92	1261.12	1345.90	896.49	1374.01	1153.52	1557.43	1188.31	1440.66	1337.35	1582.61	770.67	1482.93	1152.64	1225.57	1026.28	1178.33	1277.22	1193.31	1667.72	1358.55	1413.19	1619.62	1221.41	1527.37	1158.24	1130.49	1304.06	1109.92	1489.36	1159.16	1155.60	1091.25	1771.70	1671.97	1164.72	1325.69	1028.55	884.10	1686.83	1418.98	1235.17	1244.24	1307.86	1305.56	1345.54	983.54	926.06	1487.84	1557.61	864.04	1181.69	1738.60	1195.90	1686.54	1695.37	1065.69	1801.33	1021.80	1310.18	1798.77	988.53	1522.99	1226.37	1228.23	1142.78	2079.78	1518.67	1355.02	1378.72	1311.07	1261.00	1110.50	2208.33	1848.19	1084.81	1494.57	1075.50	1308.20	945.26	1117.30	1938.95	1091.30	1670.66	1088.80	965.94	1239.58	1107.80	1130.80	1052.85	1240.31	899.35	1018.18	1628.16	1554.63	1300.63	1296.00	1563.97	1252.20	2160.18	1312.81	1447.09	1052.61	933.39	1282.55	1319.50	2265.72	1245.66	1166.80	1890.26	883.37	1425.04	1255.64	1161.50	1297.18	1365.37	893.01	768.16	341.12	501.18	948.61	1100.30	699.88	993.90	304.01	932.67	964.52	528.35	329.79	1509.01	1936.05	1050.65	1284.98	956.86	1448.58	802.78	889.30	394.95	1181.16	503.88	526.35	2756.46	745.82	951.31	1130.61	1278.63	774.22	1004.27	961.97	719.17	469.96	1174.14	777.66	1743.97	1197.76	1310.07	746.35	690.23	988.36	1156.94	746.11	733.35	1029.49	1079.81	1122.05	804.20	673.44	974.36	971.02	360.72	933.94	971.22	1436.25	1042.94	1183.55	998.14	1608.78	1037.10	482.25	1006.98	1494.68	1036.52	1083.54	548.01	1009.45	823.77	709.15	1061.65	862.99	1173.46	969.63	694.11	1058.11	1212.42	1014.47	908.61	1164.33	665.32	899.08	1008.25	995.50	1129.20	1200.27	1178.36	360.35	838.77	828.25	304.40	1556.97	1242.62	1267.30	1419.55	1348.99	1105.89	1039.39	1567.46	1398.74	1313.60	1145.18	1451.36	999.71	950.11	1311.29	1240.59	1014.85	1326.78	1339.40	1563.86
Quorum_sensing	2105.10	1869.98	1876.96	1488.07	1963.70	2067.21	2115.48	1922.63	2024.91	1911.53	2395.06	1765.81	2176.02	1818.41	1728.08	1524.49	1807.52	2223.76	1799.66	2407.31	2021.41	2205.62	2462.98	2003.70	2304.31	1943.77	1726.66	2179.54	1735.96	2209.03	2125.19	1874.63	1883.81	2438.57	2309.06	1779.26	1927.66	1762.06	1261.00	2449.23	2011.24	1936.76	1829.31	2080.89	1977.84	2134.67	1678.47	1642.21	2162.43	2192.60	1500.49	1865.61	2449.36	2153.58	2382.66	2255.43	1791.84	2238.76	1708.13	2224.74	2571.30	2124.59	2236.47	1910.81	1777.55	1802.74	2885.93	2103.04	2080.51	2079.83	2076.77	1707.67	1998.34	3092.01	2852.98	1836.52	2213.15	1791.86	1781.44	1399.68	1993.03	2878.32	2010.00	2297.79	1903.82	1646.33	1708.65	1533.39	1985.67	1850.40	1826.16	1744.66	1625.98	2252.92	2316.66	2050.00	1978.74	2288.44	2194.83	3173.95	2082.32	2018.83	2144.16	1350.94	1923.84	2112.84	3085.20	1970.42	2027.90	2699.83	1531.25	2294.66	1592.62	1945.65	1916.15	2008.00	1635.88	1629.78	604.27	1032.52	1774.94	1737.27	1056.54	1600.43	597.36	1462.17	1504.92	790.47	549.05	2572.36	2345.15	2000.51	2435.55	2022.87	3082.17	1084.06	1605.00	908.64	2570.07	1019.77	997.48	5242.84	1353.96	1710.14	1820.29	2103.66	1391.94	1940.05	1492.33	1305.06	966.75	1857.42	1830.07	3329.57	2595.23	2336.83	1096.78	1380.07	1422.87	1771.10	1488.44	1723.67	1476.17	1739.83	1987.49	1684.78	1217.08	1627.06	1441.26	616.47	1948.57	1705.51	2067.69	1782.11	1792.20	1782.89	3126.39	1509.11	1256.39	1673.68	2445.43	2665.82	1892.95	1263.99	1873.77	1575.42	1513.39	2057.15	1772.48	1780.91	1633.26	1164.44	1892.05	1935.70	2046.45	1638.10	2090.77	1071.14	1940.58	1596.55	1744.56	1846.81	1922.17	2011.53	792.84	1060.09	1304.24	504.96	2340.99	1882.27	1710.13	2010.93	2055.07	1631.31	1777.61	2236.01	1967.50	1901.18	1892.67	1866.48	1703.06	1627.61	1932.47	1724.71	1481.38	1829.06	1913.37	2098.38
Bacterial_chemotaxis	710.11	540.82	486.89	383.85	523.06	491.07	817.66	508.83	476.24	511.33	726.54	337.33	736.03	398.24	451.40	467.34	543.06	594.79	506.02	840.46	616.44	849.25	759.77	581.67	619.16	489.33	506.40	557.66	458.45	675.10	489.42	544.48	397.25	786.21	762.67	431.89	546.54	456.90	497.12	820.95	745.42	694.24	578.62	567.04	586.98	639.09	480.89	425.15	608.37	748.96	376.31	496.00	1023.85	479.72	786.32	933.48	435.35	454.88	415.09	597.12	901.89	528.29	749.10	493.73	697.60	561.03	991.20	655.79	735.59	673.96	581.61	375.15	325.07	1192.95	916.00	400.36	851.16	560.78	553.48	439.45	562.29	916.28	419.09	787.31	389.43	520.21	583.75	492.97	376.14	369.90	386.52	530.76	397.38	759.01	780.89	556.88	551.97	959.82	715.99	1279.01	566.79	519.16	460.99	379.18	581.34	642.83	1325.22	491.20	499.96	1044.47	378.27	757.75	537.95	549.65	493.54	579.74	383.06	376.31	162.10	259.99	393.53	486.06	286.87	492.60	112.09	347.36	351.49	192.51	141.68	726.61	784.26	679.78	752.58	449.40	800.53	264.10	327.71	170.22	658.20	261.48	179.28	1719.99	311.38	392.32	434.03	590.71	350.69	398.81	369.96	278.54	255.32	443.31	399.29	972.47	685.85	711.10	274.84	365.48	330.45	402.32	394.64	321.82	381.60	450.05	502.24	358.71	277.28	376.86	400.99	150.22	521.66	341.01	432.40	396.30	417.51	433.13	946.20	424.88	216.74	359.12	626.07	493.09	477.74	234.18	383.29	368.53	343.82	552.78	519.44	432.56	426.96	271.51	487.24	406.00	816.54	387.05	599.47	261.71	421.39	353.70	409.40	591.07	480.28	703.66	207.08	411.88	347.91	149.52	807.66	464.64	525.02	701.64	493.87	452.10	439.24	833.72	608.67	735.13	452.57	585.25	405.09	375.43	542.49	534.39	401.12	579.51	633.19	631.65
Flagellar_assembly	237.60	308.25	205.44	173.98	342.64	291.28	240.57	300.36	350.71	285.44	341.33	170.92	297.72	312.95	316.75	223.95	276.07	282.12	280.04	341.89	290.92	189.25	333.31	255.46	357.59	277.12	233.62	324.79	240.15	355.62	257.52	267.81	287.44	373.93	326.62	289.63	296.03	253.88	129.00	330.61	251.71	242.79	231.27	289.81	280.45	310.86	101.49	186.71	326.26	305.93	198.34	289.66	275.22	311.15	326.01	262.04	255.74	210.85	236.95	283.59	300.12	174.57	320.29	290.29	222.24	246.72	385.95	327.51	235.49	282.52	265.83	347.02	233.61	360.45	423.70	280.02	237.81	200.88	214.85	211.01	239.09	196.52	257.63	284.99	277.08	172.07	227.47	206.38	313.74	282.57	291.02	155.55	229.62	269.84	253.92	298.47	247.55	291.82	227.28	331.40	328.62	373.37	259.03	168.95	268.82	250.24	317.77	306.99	272.17	286.13	188.91	248.80	211.57	239.18	204.46	316.67	193.80	158.26	52.46	79.29	245.06	183.48	163.05	133.53	52.70	212.51	238.59	133.39	72.50	210.22	259.69	147.23	110.88	196.60	204.72	184.53	243.52	78.70	179.69	102.02	96.06	299.81	174.83	216.65	272.58	184.28	179.45	234.56	255.34	171.14	106.48	268.33	140.31	266.83	198.83	269.81	187.53	168.87	255.27	261.15	109.59	156.92	248.05	285.82	279.73	196.68	173.34	232.84	165.12	69.52	149.53	250.70	204.94	259.92	292.39	168.80	185.43	269.36	112.06	243.17	347.65	191.59	235.90	109.50	254.29	186.27	140.87	239.27	153.32	291.24	237.10	159.96	272.75	288.62	187.35	208.99	196.48	156.74	192.76	284.91	182.95	209.16	290.26	187.87	62.63	140.26	184.63	55.31	321.07	278.39	242.85	281.93	344.90	265.34	250.75	272.38	323.08	222.59	237.04	264.20	221.98	234.62	317.47	277.76	217.33	279.31	259.02	293.56
Phosphotransferase_system_PTS	180.27	268.42	209.41	89.07	207.40	288.08	197.40	156.00	242.03	161.27	320.68	75.01	354.10	155.46	220.01	198.21	157.64	173.69	223.74	257.92	253.13	179.77	270.16	130.62	457.69	266.22	137.03	269.22	142.88	304.56	134.15	167.89	130.35	256.81	276.61	172.06	238.15	119.55	117.92	239.32	285.33	264.00	190.54	177.48	177.20	159.02	141.70	148.80	375.64	251.65	174.55	179.54	234.38	162.42	276.99	215.37	145.15	200.41	111.84	237.74	281.45	93.42	329.98	156.33	251.27	150.86	403.23	215.37	170.40	166.18	162.41	180.76	108.86	280.30	573.25	140.46	202.20	118.71	169.14	164.11	233.14	270.55	127.53	249.50	132.84	133.65	218.55	214.87	171.29	143.23	140.36	90.42	154.81	240.33	211.92	194.28	150.03	163.92	141.01	271.31	165.78	220.31	226.74	189.14	178.34	217.10	287.99	164.91	228.72	258.83	123.19	147.73	126.11	140.30	124.91	282.30	183.47	97.91	45.29	45.12	107.77	136.14	115.41	117.42	37.89	114.36	135.38	75.09	63.85	200.91	250.93	88.27	160.09	154.31	154.60	100.37	99.03	37.00	187.35	97.97	82.72	401.79	92.57	99.70	147.67	144.73	98.61	117.97	158.64	111.29	42.31	129.92	64.44	205.98	111.20	147.70	116.65	54.60	184.88	132.93	79.67	58.39	126.52	143.57	157.92	151.76	75.40	115.80	116.92	39.89	107.22	117.45	288.20	132.39	154.35	98.79	189.18	152.46	27.09	121.94	321.04	82.86	204.84	36.78	114.52	76.96	66.09	110.74	82.09	142.84	124.60	79.44	109.43	137.55	78.34	106.43	169.47	89.40	90.17	279.18	159.39	132.28	151.83	137.30	32.84	61.29	129.82	45.63	347.25	174.25	167.20	224.12	179.98	164.06	199.55	262.09	235.99	208.30	115.09	165.90	126.29	154.02	201.25	199.86	197.38	210.57	284.85	204.73
Ribosome_biogenesis_in_eukaryotes	850.95	839.56	805.25	639.00	906.29	855.21	859.90	854.96	944.44	870.28	1041.47	669.98	917.84	825.09	803.49	678.04	816.80	945.53	799.57	1056.04	889.84	907.74	1056.48	919.75	1003.53	826.16	739.60	933.17	758.07	994.57	895.13	827.70	819.84	1091.78	1002.85	802.07	855.96	775.07	516.69	1043.53	843.38	796.37	803.93	892.34	872.30	957.86	728.57	651.15	943.63	931.00	656.97	823.56	999.20	918.28	1041.80	921.80	787.56	1043.97	771.41	923.54	1068.49	815.56	954.30	859.68	735.25	780.57	1252.36	936.17	867.97	944.20	908.80	834.74	815.85	1300.42	1204.58	809.10	884.67	742.42	742.54	619.30	802.33	1057.08	839.85	948.29	821.08	656.10	708.97	645.50	862.96	812.67	792.78	642.64	677.47	945.38	927.46	858.24	851.22	1007.82	874.56	1279.91	947.02	942.26	856.22	545.44	856.80	907.65	1217.78	878.81	866.13	1099.69	674.14	978.04	666.15	855.97	824.79	910.03	661.39	599.08	248.84	405.53	732.47	778.83	486.16	662.21	246.21	637.22	678.42	359.00	236.28	1066.35	1011.49	729.64	974.47	809.54	1233.05	492.89	698.28	344.18	986.70	399.42	400.13	1893.22	554.53	692.88	837.21	828.54	579.99	781.35	678.43	529.59	382.21	818.70	706.00	1393.88	967.80	1001.04	495.14	605.81	662.28	804.19	610.61	643.67	683.86	771.69	857.94	658.20	525.19	698.77	656.27	260.39	750.45	775.02	902.43	766.32	819.55	727.25	1280.53	727.57	474.49	751.19	1095.44	1000.80	746.33	479.80	781.63	677.28	565.99	885.97	705.11	811.01	719.48	501.49	836.50	853.05	744.11	686.44	898.18	471.24	747.73	716.56	701.45	835.63	851.57	749.57	284.05	475.55	557.80	215.16	987.43	846.64	755.07	875.86	934.43	726.56	745.21	931.09	892.43	790.18	777.42	830.91	743.77	712.52	890.74	773.41	667.59	818.55	798.91	900.27
RNA_transport	816.58	933.96	971.21	619.59	1060.06	866.32	836.63	938.36	1091.26	976.66	1062.42	565.99	905.17	972.48	969.91	721.00	873.07	896.24	866.65	1077.98	904.37	760.60	1065.14	896.52	1063.96	866.14	761.29	973.80	777.15	1100.33	867.84	842.01	907.46	1196.61	1051.65	885.36	916.59	817.01	459.08	1068.07	817.65	771.37	807.16	919.61	912.34	993.51	669.87	619.28	1003.38	964.49	625.11	898.25	893.17	1001.93	1079.35	848.63	817.39	1071.79	798.62	898.88	1016.62	637.31	973.29	935.55	686.44	785.74	1290.78	1020.36	807.14	943.09	898.00	1091.45	881.64	1251.74	1234.40	912.20	802.58	662.21	757.22	650.73	724.35	1210.86	879.90	963.27	880.25	561.27	732.56	657.44	1002.30	878.11	917.53	544.93	726.17	912.08	844.35	959.15	848.34	988.83	724.35	1108.02	1020.61	1168.84	792.73	602.87	872.84	853.47	1108.70	974.52	874.45	1038.36	660.82	903.64	704.00	815.25	793.12	995.13	633.67	544.33	222.85	330.64	781.71	746.26	525.25	587.52	210.32	705.96	766.54	420.69	240.07	948.75	1123.11	691.49	807.89	701.99	986.01	590.38	777.09	286.43	807.81	372.42	360.83	1681.14	570.75	706.61	870.11	780.24	581.29	825.73	780.14	544.59	366.64	900.25	551.51	1220.71	823.82	905.58	582.14	544.33	797.89	892.43	502.40	519.19	786.58	899.86	859.70	599.57	550.25	740.68	641.15	256.33	618.04	839.60	884.82	848.12	958.24	687.85	1029.03	851.77	370.38	811.49	1191.34	816.30	783.30	396.88	828.54	639.20	497.28	822.98	597.12	934.44	762.67	546.90	851.46	958.09	751.69	681.50	831.41	503.30	640.93	837.01	620.07	784.28	929.72	763.10	245.67	508.32	594.41	199.50	986.76	907.79	809.03	922.33	1101.24	834.30	764.24	876.71	1008.03	723.48	780.87	915.25	760.10	750.39	992.41	870.67	705.77	895.63	818.21	989.00
mRNA_surveillance_pathway	699.07	797.55	699.56	569.97	945.49	756.52	646.58	833.21	1009.76	870.43	880.48	555.39	713.15	897.17	860.81	622.30	738.37	843.83	748.18	907.09	804.63	678.21	922.37	753.72	883.91	755.68	679.86	849.60	703.02	932.93	819.79	716.04	859.04	1010.56	905.60	799.58	800.93	687.03	403.54	881.27	660.17	640.62	696.13	813.80	812.41	827.83	565.31	525.61	846.90	811.44	522.75	790.20	737.01	864.79	881.78	698.44	741.92	997.52	716.77	779.92	897.83	624.07	805.26	829.41	550.85	671.64	1036.00	895.57	670.15	769.71	792.91	989.51	808.51	1036.48	976.19	803.89	664.54	592.89	649.37	558.51	631.29	837.68	770.85	798.46	831.03	507.16	596.58	556.38	895.31	831.44	828.75	493.51	644.71	809.29	722.85	848.82	774.09	779.00	640.94	929.91	887.00	1037.93	718.51	475.55	723.32	787.03	881.82	879.01	779.22	849.96	589.80	761.32	575.42	743.08	720.14	880.87	593.01	519.93	213.19	338.16	742.01	758.80	472.11	536.84	194.22	637.86	701.74	384.66	208.53	864.98	842.99	592.73	733.11	690.11	972.36	539.39	696.72	287.78	771.75	346.41	334.21	1421.96	543.64	680.83	839.32	696.60	525.40	743.16	699.58	506.77	312.05	802.86	562.23	1125.24	781.40	754.42	521.35	454.46	706.78	827.85	517.52	521.27	691.92	781.62	755.44	557.85	504.88	686.00	648.75	251.55	602.74	790.06	721.30	799.47	889.99	610.11	1017.96	738.00	375.23	755.94	1077.96	799.88	693.74	406.20	783.01	587.45	486.91	728.70	519.77	844.60	678.59	475.34	740.70	889.15	670.33	641.96	802.11	459.19	587.66	722.58	550.14	653.49	847.95	692.39	230.40	455.99	527.74	189.70	819.30	818.47	709.95	781.63	969.27	736.47	683.68	737.58	866.40	609.47	717.83	808.99	704.26	681.14	857.78	762.64	631.66	766.91	669.29	845.88
RNA_degradation	1493.07	1641.03	1767.69	1229.87	1897.29	1659.67	1446.38	1755.09	1986.92	1793.35	1890.13	1321.20	1574.54	1809.33	1699.07	1275.38	1585.91	1809.37	1554.45	1916.77	1676.91	1331.84	1947.29	1690.33	1861.86	1603.47	1422.12	1836.49	1490.09	1901.89	1775.28	1574.62	1778.46	2065.10	1822.67	1666.02	1664.10	1514.53	817.32	1888.45	1402.30	1356.45	1454.57	1737.74	1690.87	1808.07	1068.56	1225.88	1745.14	1696.78	1222.41	1668.80	1602.15	1866.90	1856.73	1492.41	1576.02	2026.82	1534.15	1739.67	1781.89	1440.23	1702.09	1743.22	1189.04	1466.84	2204.89	1829.62	1486.46	1695.76	1706.27	1902.37	1714.31	2144.50	2103.06	1687.74	1456.82	1330.95	1333.95	1169.74	1438.79	1832.51	1696.17	1673.24	1761.28	1138.98	1254.31	1132.56	1859.67	1742.83	1714.02	1177.83	1407.32	1609.30	1611.08	1774.85	1627.74	1714.90	1511.09	2039.07	1907.49	2035.26	1655.63	977.72	1580.77	1579.06	1910.90	1823.49	1675.45	1778.12	1292.63	1696.36	1231.62	1581.78	1595.25	1740.80	1232.65	1177.57	409.11	689.42	1576.91	1304.72	941.26	1028.53	459.47	1357.17	1429.67	777.90	443.83	1723.18	1826.03	1289.04	1295.52	1448.19	1928.68	1047.33	1474.11	682.35	1553.64	709.56	751.44	2700.51	1151.24	1436.08	1669.39	1432.51	1164.33	1577.74	1423.01	1088.93	743.10	1690.01	1251.16	2156.29	1740.29	1800.31	1043.85	1110.26	1391.39	1699.28	965.23	1269.72	1408.42	1647.34	1705.13	1297.33	1099.71	1452.34	1133.11	486.94	1250.23	1647.59	1586.32	1619.77	1753.34	1379.17	1806.49	1471.89	944.98	1579.26	2040.53	1768.18	1470.78	917.69	1639.29	1326.30	1110.68	1608.22	1173.49	1715.47	1455.15	1009.65	1661.53	1828.03	1347.62	1362.88	1440.48	956.33	1460.87	1492.13	1311.19	1369.82	1758.01	1379.90	523.00	909.43	1099.98	364.69	1728.21	1727.05	1467.82	1607.64	1960.50	1495.80	1477.68	1560.05	1753.99	1290.18	1553.92	1605.02	1494.85	1443.94	1767.09	1516.97	1292.32	1547.67	1389.42	1710.56
