#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_1152	3	10	0	3	1	1	4	3	4	4	6	0	4	1	9	2	0	4
OTU_1154	10	16	3	3	1	7	10	3	9	0	6	3	3	4	3	6	4	3
OTU_1155	5	7	1	5	0	10	13	6	1	1	7	6	10	1	2	1	2	5
OTU_1158	2	2	5	2	0	8	9	0	5	1	6	5	3	0	2	1	7	6
OTU_1159	2	3	0	3	0	12	2	2	0	29	0	0	0	0	2	0	1	7
OTU_1160	4	0	9	0	9	3	0	0	2	2	0	0	0	2	0	28	0	0
OTU_1161	1	1	7	0	0	19	0	0	0	4	4	4	1	5	2	3	0	1
OTU_1163	1	2	0	1	0	8	6	5	3	1	4	3	6	6	4	4	2	3
OTU_1164	0	1	3	2	7	1	2	3	2	4	7	4	2	5	6	6	0	3
OTU_1165	2	2	5	7	4	4	5	4	2	8	4	5	1	6	10	8	4	4
OTU_1166	3	4	3	4	3	2	3	6	6	8	5	14	4	2	0	4	3	3
OTU_1167	4	3	6	2	2	4	9	1	5	2	5	4	2	3	7	1	4	3
OTU_1169	1	4	0	0	0	1	7	10	3	4	2	2	3	1	6	1	2	0
OTU_1170	6	6	1	5	1	0	3	6	3	6	3	3	4	5	3	5	5	7
OTU_1171	5	2	2	1	2	2	3	8	3	6	4	4	3	4	4	5	2	3
OTU_1172	3	4	1	2	0	3	6	4	2	6	5	4	3	3	2	3	1	3
OTU_1173	4	1	2	2	0	3	4	7	5	4	3	3	2	7	1	5	3	4
OTU_1174	5	2	0	6	2	3	0	4	2	0	2	4	5	0	2	3	3	7
OTU_1175	2	2	2	5	2	2	6	4	5	4	4	6	4	5	5	3	4	6
OTU_1176	6	4	2	3	6	4	8	4	3	1	4	3	7	4	4	1	8	3
OTU_1177	3	1	1	3	0	2	3	2	1	2	0	3	7	10	4	13	2	3
OTU_1178	4	2	1	0	0	1	5	2	3	5	3	1	1	1	6	8	7	5
OTU_1179	4	6	2	3	1	1	6	2	2	2	4	9	1	0	2	3	10	1
OTU_118	49	45	39	42	43	105	39	23	35	77	35	72	28	48	37	34	75	18
OTU_1180	3	5	2	3	1	5	0	1	0	3	6	4	2	5	4	9	1	5
OTU_1181	3	0	2	2	3	3	2	5	2	0	6	0	17	0	4	11	3	1
OTU_1182	6	4	5	6	1	3	5	2	3	3	5	7	2	2	3	2	4	2
OTU_1183	5	7	2	6	4	7	3	4	3	0	5	2	5	5	2	3	4	4
OTU_1184	3	5	5	0	2	3	4	3	1	2	6	9	5	4	4	5	4	2
OTU_1185	0	36	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1186	1	2	1	2	3	12	2	5	2	2	3	3	3	1	7	6	1	5
OTU_1187	1	6	1	0	1	4	2	10	6	3	3	3	1	4	4	4	2	2
OTU_1188	0	2	0	3	1	4	2	6	1	4	11	4	4	0	2	1	5	7
OTU_1189	0	4	0	0	0	1	5	2	8	5	3	2	5	2	7	2	5	1
OTU_119	41	29	65	29	13	24	71	54	51	37	60	44	39	81	60	80	69	48
OTU_1190	0	0	2	3	12	6	2	7	1	1	8	4	2	2	3	3	3	3
OTU_1191	0	0	0	0	0	0	9	8	8	3	2	3	2	6	2	5	1	2
OTU_1192	7	1	0	2	0	4	6	2	3	3	3	3	3	3	1	1	9	2
OTU_1193	3	10	5	3	5	6	0	7	4	1	8	4	10	10	8	3	5	6
OTU_1194	4	0	6	1	0	0	4	6	1	3	2	4	0	2	8	1	2	4
OTU_1195	5	3	0	3	0	8	8	1	6	2	1	3	0	0	4	3	4	4
OTU_1196	8	2	2	2	0	5	3	1	3	0	2	4	8	7	5	1	1	3
OTU_1197	1	3	2	1	1	1	3	8	4	0	5	3	1	8	6	2	4	3
OTU_1199	2	4	1	2	2	5	4	5	2	4	4	5	6	2	3	0	7	1
OTU_12	32	118	617	315	192	213	197	739	679	470	373	122	288	298	239	204	472	591
OTU_120	46	81	105	78	58	86	22	26	36	25	28	33	26	29	50	55	36	25
OTU_1200	1	2	1	0	1	0	9	6	7	4	1	6	3	4	5	3	1	3
OTU_1201	12	8	4	2	3	9	2	9	12	3	3	4	1	3	2	2	4	5
OTU_1202	3	1	1	0	3	1	10	16	2	7	29	3	1	1	1	1	1	2
OTU_1203	6	2	1	4	3	6	3	3	1	5	2	3	4	0	3	2	7	3
OTU_1205	22	6	15	0	0	1	0	0	4	0	0	5	10	0	1	0	8	0
OTU_1206	2	7	4	3	0	3	2	6	1	1	4	3	3	5	4	0	1	5
OTU_1209	0	8	0	2	0	1	0	1	0	0	0	2	0	4	2	35	0	0
OTU_121	48	35	44	30	12	44	68	42	44	48	55	74	36	35	43	21	50	49
OTU_1210	2	3	1	1	0	2	9	2	2	5	2	7	1	5	5	2	6	3
OTU_1211	0	4	6	0	0	1	4	12	6	1	1	7	4	1	8	1	2	4
OTU_1212	3	6	0	1	4	1	2	5	1	3	8	2	4	1	1	5	4	2
OTU_1213	2	14	0	0	7	1	8	2	5	6	2	4	4	3	7	4	0	10
OTU_1214	0	7	0	8	3	9	8	2	1	1	4	2	3	1	3	1	1	1
OTU_1215	2	0	1	0	0	3	2	0	2	2	2	0	17	9	3	5	3	2
OTU_1216	3	10	3	2	2	1	9	6	4	5	5	4	4	3	1	3	4	7
OTU_1217	2	4	1	0	3	6	0	5	5	4	0	0	7	21	0	0	1	0
OTU_1218	11	3	0	8	1	4	12	4	2	5	1	10	5	3	4	5	3	6
OTU_1219	4	7	2	2	4	1	0	4	3	2	0	1	5	3	3	0	3	3
OTU_122	43	79	38	44	19	49	63	68	68	49	40	60	56	39	52	52	42	58
OTU_1221	1	7	9	1	0	3	3	1	3	4	1	8	1	7	7	7	4	6
OTU_1222	3	5	2	3	2	4	3	0	2	4	4	5	3	2	2	3	3	7
OTU_1223	3	8	0	0	0	2	5	4	4	0	7	5	4	6	4	0	0	8
OTU_1224	6	0	2	6	2	2	5	0	5	1	3	8	11	0	4	10	1	1
OTU_1225	0	1	0	0	0	2	0	1	27	0	4	1	2	0	13	4	0	3
OTU_1227	91	218	96	202	20	68	168	127	140	179	172	101	295	357	232	225	250	144
OTU_1228	3	3	2	1	0	3	10	6	3	1	5	14	9	1	10	3	1	1
OTU_1229	0	3	3	4	1	1	4	6	5	3	5	2	7	1	1	2	5	3
OTU_1230	2	3	2	4	7	6	2	5	5	6	4	3	2	1	1	2	6	2
OTU_1231	8	0	0	0	0	1	10	4	3	2	1	6	7	10	8	3	2	8
OTU_1232	6	3	1	7	0	4	3	0	6	11	3	4	3	3	5	5	0	3
OTU_1233	8	2	0	1	1	0	5	1	2	3	6	5	4	1	3	3	1	1
OTU_1234	2	1	58	0	0	0	0	3	3	0	0	2	0	0	3	0	0	1
OTU_1235	4	1	0	2	1	4	8	7	10	8	6	5	7	5	4	3	5	6
OTU_1236	1	7	3	2	3	1	2	3	4	2	4	1	1	1	5	2	2	3
OTU_1238	5	6	4	4	1	5	8	2	2	0	3	5	2	3	5	0	6	1
