OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_864	-0.641	7.584	0.257331191719974	0.616681670096723	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	Unassigned	0.011	0.017	0.024	0.011	0.005	0.013	0.005	0.005	0.019	0.011	0.008	0.014	0.035	0.016
ASV_2663	-1.148	6.289	0.257609057578448	0.616681670096723	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.004	0	0.006	0.003	0	0	0	0.005	0	0.011	0.003	0.003	0
ASV_2549	-0.827	6.562	0.257687388620213	0.616681670096723	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.005	0.003	0.003	0	0.005	0.003	0.003	0.011	0.005	0.003	0.006	0	0.008
ASV_2093	-1.012	6.504	0.25785004550287	0.616681670096723	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.005	0.003	0.003	0	0.003	0	0.005	0.005	0.016	0.003	0	0.003	0.003
ASV_2639	-0.965	6.511	0.257899955352389	0.616681670096723	NotSig	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Unassigned	Unassigned	0.002	0.005	0.003	0.003	0	0.003	0.005	0	0.003	0.005	0.003	0.006	0.014	0
ASV_2513	-0.817	6.46	0.258140158616552	0.616681670096723	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Labilitrichaceae	Labilithrix	Labilithrix_luteola	0.002	0.005	0.003	0.003	0.005	0	0	0.003	0.003	0.005	0.003	0.006	0.005	0.005
ASV_1677	-0.878	6.659	0.258298441826906	0.616681670096723	NotSig	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	0.003	0.006	0.009	0.006	0	0.003	0	0.003	0.008	0.003	0	0.014	0.008	0.005
ASV_2412	-1.373	6.356	0.258744743379783	0.617020357738128	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Unassigned	Unassigned	0.001	0.004	0.003	0	0	0.005	0	0	0	0.008	0.003	0	0.014	0
ASV_713	0.82	7.827	0.259014042853206	0.617020357738128	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.021	0.013	0.024	0.022	0.065	0.005	0	0.011	0.014	0.003	0.011	0.019	0.011	0.022
ASV_1626	0.94	6.82	0.25914385986341	0.617020357738128	NotSig	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unassigned	Unassigned	Unassigned	0.009	0.004	0.015	0.028	0	0.005	0	0.003	0	0.005	0.006	0.003	0.005	0.005
ASV_2886	-1.036	6.501	0.259582441713322	0.617505790368671	NotSig	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unassigned	Unassigned	Unassigned	0.002	0.005	0.006	0.006	0	0	0	0.003	0.005	0.008	0	0.006	0.011	0
ASV_284	0.598	10.526	0.260557545205032	0.618911215031407	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioides_albus	0.17	0.119	0.14	0.218	0.143	0.066	0.091	0.364	0.049	0.04	0.116	0.33	0.079	0.098
ASV_2727	-1.199	5.818	0.260643719595135	0.618911215031407	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0
ASV_2759	1.32	6.539	0.260937368843393	0.619049790285814	NotSig	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unassigned	Unassigned	Unassigned	0.005	0.002	0.009	0	0.013	0.011	0	0	0.005	0	0	0	0	0.008
ASV_690	-0.595	7.695	0.261329876723355	0.619351072633239	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.012	0.019	0.018	0.014	0.005	0.005	0.01	0.019	0.032	0.021	0.019	0.006	0.016	0.019
ASV_1672	-0.932	6.607	0.261648509430444	0.619351072633239	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Unassigned	0.003	0.006	0.006	0	0.003	0.005	0.003	0	0	0.003	0.006	0.014	0.011	0.003
ASV_561	-0.547	8.026	0.261825423447573	0.619351072633239	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.016	0.025	0.009	0.011	0.01	0.029	0.021	0.014	0.024	0.018	0.039	0.03	0.024	0.016
ASV_1474	1.39	6.79	0.262005983975977	0.619351072633239	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Unassigned	Unassigned	Unassigned	0.009	0.003	0	0.05	0	0	0	0.005	0.003	0	0.003	0	0.003	0.011
ASV_2499	-0.898	6.599	0.263059692938807	0.621283709265709	NotSig	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.006	0.003	0.003	0.005	0	0.005	0	0.003	0.008	0.014	0	0.003	0.008
ASV_916	0.869	6.533	0.263532145169673	0.621841321920547	NotSig	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned	0.005	0.003	0	0.011	0.005	0.008	0.003	0.003	0.003	0.003	0.006	0	0.005	0
ASV_759	0.665	7.655	0.264476979903302	0.623511589718269	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Unassigned	Unassigned	0.017	0.012	0.018	0.003	0.026	0.011	0.028	0.014	0.005	0.008	0.008	0.017	0.014	0.019
ASV_2288	1.063	6.661	0.264844415283795	0.623818851039986	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.006	0.003	0.003	0.003	0	0.003	0.005	0.025	0.005	0	0.008	0	0	0.005
ASV_629	-0.505	7.845	0.266102273593145	0.626221003420004	NotSig	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.014	0.021	0.009	0.02	0.016	0.016	0.008	0.016	0.022	0.026	0.025	0.022	0.014	0.019
ASV_1081	0.587	7.769	0.266674709810489	0.627007293575867	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.019	0.014	0.015	0.017	0.01	0.037	0.018	0.016	0.008	0.016	0.028	0.014	0.005	0.011
ASV_2312	-0.974	6.376	0.267487589376373	0.628357006829676	NotSig	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned	0.002	0.004	0	0.006	0.003	0	0	0.003	0.005	0	0	0.006	0.008	0.005
ASV_177	-0.772	9.723	0.267939701181385	0.628647942974041	NotSig	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	0.056	0.098	0.049	0.014	0.039	0.183	0.016	0.036	0.238	0.19	0.061	0.047	0.03	0.025
ASV_529	-0.495	8.262	0.268105690349458	0.628647942974041	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.02	0.031	0.006	0.039	0.016	0.024	0.021	0.016	0.027	0.026	0.039	0.03	0.027	0.035
ASV_2245	-1.305	6.487	0.268328255400931	0.628647942974041	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.005	0	0	0	0.005	0.003	0.003	0.003	0.018	0	0	0.008	0
ASV_1858	1.179	6.376	0.269119418207603	0.629933039568484	NotSig	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Bacillus_nealsonii	0.004	0.002	0.015	0	0.003	0.005	0	0.003	0	0	0.003	0	0	0.008
ASV_2389	0.835	6.605	0.269402429363291	0.629933039568484	NotSig	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned	0.006	0.003	0.009	0.006	0.003	0.008	0.008	0	0.005	0	0.008	0	0.003	0.003
ASV_1493	1.14	7.235	0.26965369447847	0.629933039568484	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Nonomuraea	Nonomuraea_jabiensis	0.013	0.006	0.012	0.003	0	0.061	0	0.003	0.008	0.016	0.006	0	0.003	0.003
ASV_2464	1.434	6.203	0.269834487112764	0.629933039568484	NotSig	Bacteria	Candidatus_Saccharibacteria	Unassigned	Unassigned	Unassigned	Saccharibacteria_genera_incertae_sedis	Unassigned	0.003	0.001	0	0	0	0.005	0.01	0	0	0.003	0	0	0.003	0
ASV_1430	0.583	7.316	0.270453307722634	0.63046000088652	NotSig	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	Gaiella_occulta	0.012	0.009	0.012	0.02	0.01	0.008	0.016	0.008	0.005	0.005	0.011	0.008	0.016	0.005
ASV_2757	-0.742	6.635	0.270539468263353	0.63046000088652	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.006	0.006	0.006	0	0.003	0.005	0	0.005	0.005	0.008	0.006	0.008	0.003
ASV_1902	1.215	6.616	0.271040396463645	0.630678534436079	NotSig	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Unassigned	Unassigned	0.006	0.003	0	0	0.018	0.005	0.003	0.008	0	0	0	0.008	0	0.008
ASV_1971	0.652	7.1	0.271225354038174	0.630678534436079	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Unassigned	0.01	0.007	0.012	0.014	0.01	0.003	0.01	0.011	0.003	0	0.014	0.011	0.003	0.011
ASV_1433	-0.912	6.76	0.271489619104949	0.630678534436079	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia	Dongia_mobilis	0.004	0.008	0.003	0.006	0.003	0	0	0.011	0.003	0.003	0.028	0.006	0.003	0.005
ASV_897	0.465	9.258	0.271592086475134	0.630678534436079	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Unassigned	0.062	0.047	0.079	0.048	0.052	0.042	0.07	0.082	0.051	0.077	0.042	0.022	0.046	0.046
ASV_1906	-1.559	7.076	0.27269113028169	0.632182474274801	NotSig	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_gyeonganense	0.004	0.011	0.006	0.008	0	0.008	0	0.003	0	0.066	0	0	0	0
ASV_1169	-0.992	6.578	0.272720299620638	0.632182474274801	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.006	0.003	0.011	0	0	0	0.003	0.008	0.003	0.017	0.003	0.005	0
ASV_2049	-1.012	6.493	0.273959957948119	0.634497050494279	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioides_caricicola	0.002	0.005	0.006	0.006	0	0	0	0.003	0.005	0.003	0.003	0	0.016	0.003
ASV_2765	-1.084	6.41	0.274767347240583	0.63495611380353	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.005	0.012	0	0	0	0	0	0.008	0	0.006	0.006	0.003	0.005
ASV_416	1.412	8.56	0.274838205287495	0.63495611380353	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Actinophytocola	Unassigned	0.048	0.018	0.027	0.003	0.003	0	0	0.254	0.024	0	0.006	0.072	0	0.008
ASV_1683	-0.726	6.874	0.27488217925588	0.63495611380353	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Unassigned	Unassigned	0.005	0.008	0.009	0.008	0.003	0	0.005	0.003	0.005	0.008	0.003	0.019	0.005	0.008
ASV_394	-0.575	8.918	0.275155023590927	0.635028830761166	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	Unassigned	0.034	0.055	0.018	0.045	0.01	0.053	0.018	0.06	0.078	0.008	0.055	0.077	0.038	0.071
ASV_118	0.481	10.4	0.27765877687771	0.640245610837209	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax_boronicumulans	0.148	0.108	0.149	0.126	0.101	0.111	0.111	0.287	0.076	0.127	0.103	0.094	0.203	0.049
ASV_1108	-0.747	7.186	0.279102542764161	0.642490597302805	NotSig	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	Unassigned	0.006	0.012	0.006	0	0.003	0.003	0.01	0.016	0.014	0.005	0.008	0.006	0.027	0.011
ASV_2127	0.97	6.348	0.279120772602473	0.642490597302805	NotSig	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	Gaiella_occulta	0.004	0.002	0	0.003	0.003	0.003	0.003	0.011	0	0.003	0.006	0.003	0	0
ASV_2623	0.962	6.844	0.27968994913028	0.643237986155391	NotSig	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas	Aciditerrimonas_ferrireducens	0.008	0.004	0.015	0.011	0	0	0.003	0.022	0.003	0.008	0.008	0	0.005	0
ASV_1747	1.052	7.079	0.279941931382411	0.643255215255128	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0.01	0.005	0.012	0.006	0.031	0	0.005	0.008	0	0	0.003	0.025	0	0.005
ASV_634	0.773	8.268	0.280843922192156	0.644764711420211	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes	Unassigned	0.032	0.019	0.04	0.022	0.023	0.066	0	0.041	0.043	0	0.008	0.014	0.027	0.025
ASV_481	0.529	8.395	0.281323534800838	0.645302720192681	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Unassigned	Unassigned	0.032	0.024	0.027	0.039	0.018	0.04	0.039	0.03	0.054	0.008	0.014	0.022	0.019	0.027
ASV_193	-0.466	10.537	0.28187893529216	0.645959424629679	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	Unassigned	0.122	0.172	0.119	0.229	0.08	0.164	0.049	0.088	0.081	0.214	0.161	0.245	0.084	0.248
ASV_948	0.441	9.105	0.282100866172368	0.645959424629679	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Unassigned	0.054	0.043	0.052	0.05	0.029	0.072	0.075	0.049	0.049	0.048	0.064	0.033	0.03	0.038
ASV_875	1.006	7.463	0.282922569141734	0.647277634271219	NotSig	Bacteria	Chloroflexi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.016	0.009	0.006	0.008	0.026	0.045	0	0.008	0.019	0.003	0.028	0	0	0.003
ASV_1651	-1.264	6.996	0.283822275023262	0.648771855418073	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Unassigned	0.004	0.011	0.018	0.003	0	0.003	0.003	0	0	0	0	0.052	0.003	0.011
ASV_1789	-0.879	6.591	0.284284136424635	0.649263509490638	NotSig	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.006	0	0	0.005	0.003	0.003	0.005	0	0	0.011	0.008	0.005	0.011
ASV_2671	1.21	6.267	0.284798257792801	0.649336181128862	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Unassigned	0.003	0.001	0.006	0.003	0	0	0.008	0.003	0	0	0.008	0	0	0
ASV_1601	0.726	6.895	0.284809560251884	0.649336181128862	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia_insulae	0.008	0.005	0.003	0.008	0.013	0.008	0.013	0	0.003	0.003	0.003	0.008	0.005	0.008
ASV_1060	0.708	7.492	0.285317707117146	0.649931504264251	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Aeromicrobium	Unassigned	0.015	0.01	0.009	0.02	0.029	0.008	0.016	0.008	0.003	0	0.006	0.025	0.011	0.016
ASV_582	-0.816	8.575	0.285848475073493	0.650577281936297	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes	Unassigned	0.026	0.043	0.061	0.064	0.008	0.013	0	0.008	0.127	0.024	0.05	0.006	0.035	0.016
ASV_2252	-0.796	6.735	0.286407723733163	0.651286707987857	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Unassigned	0.004	0.007	0	0.008	0.005	0	0.003	0.005	0.005	0.013	0	0.006	0.008	0.008
ASV_887	1.066	7.363	0.287031936963449	0.651501874739198	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Unassigned	0.014	0.007	0	0	0	0.024	0.013	0.049	0.024	0.003	0.003	0.008	0.003	0.003
ASV_38	-0.601	12.287	0.287055083184304	0.651501874739198	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Pseudoduganella	Pseudoduganella_violaceinigra	0.373	0.57	0.344	0.159	0.215	0.567	0.378	0.574	0.592	1.632	0.194	0.341	0.412	0.248
ASV_856	0.781	7.836	0.287245220333512	0.651501874739198	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Unassigned	Unassigned	Unassigned	0.022	0.014	0.052	0.02	0.047	0	0.008	0.005	0.008	0.008	0.022	0.019	0.003	0.022
ASV_2896	-1.347	6.024	0.288373443819856	0.652971295939468	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0.001	0.002	0.003	0	0	0	0	0	0	0	0.008	0	0.003	0
ASV_545	0.716	8.52	0.288389451114277	0.652971295939468	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.034	0.024	0.006	0.014	0.016	0.024	0.106	0.038	0.005	0.029	0.019	0.022	0.03	0.041
ASV_2169	-0.712	6.767	0.288900075119895	0.653565002270374	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces	Unassigned	0.004	0.007	0.006	0.011	0	0.003	0	0.005	0.005	0.005	0.014	0.011	0.003	0.005
ASV_192	0.464	10.017	0.289944427700165	0.655364080136714	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0.106	0.083	0.101	0.048	0.078	0.13	0.15	0.131	0.054	0.111	0.061	0.107	0.1	0.066
ASV_2616	0.758	6.499	0.29062106902143	0.655958986324493	NotSig	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.005	0.003	0.003	0.008	0.003	0.005	0.005	0.003	0.003	0	0.006	0.003	0.005	0
ASV_783	0.562	7.847	0.290706263038525	0.655958986324493	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Unassigned	0.02	0.014	0.015	0.034	0.013	0.027	0.023	0.011	0.032	0.016	0.011	0.011	0.008	0.008
ASV_2160	-0.725	6.636	0.290992592968889	0.656042426821892	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Unassigned	0.003	0.006	0.003	0	0	0.005	0.005	0.005	0.005	0.008	0.008	0.003	0.003	0.008
ASV_1710	1.434	6.507	0.291456617081911	0.656525992758996	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.005	0.002	0	0.003	0	0.029	0	0	0.003	0.005	0	0.003	0	0
ASV_2672	-0.724	6.641	0.291985827734225	0.656628141668967	NotSig	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus_terrae	0.003	0.006	0.003	0.003	0.003	0	0.008	0.003	0.008	0.008	0.006	0.003	0.003	0.008
ASV_2747	1.304	6.315	0.292171292243438	0.656628141668967	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Unassigned	0.004	0.001	0.003	0	0	0.016	0.003	0	0	0	0	0.006	0.003	0
ASV_2462	-1.332	6.024	0.292250685630696	0.656628141668967	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.002	0	0	0	0.003	0	0	0	0	0.008	0.003	0	0
ASV_1159	1.077	6.903	0.292708079340677	0.657094672990887	NotSig	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	Ignavibacterium_album	0.009	0.005	0.006	0.008	0	0.008	0	0.033	0	0	0.006	0	0.003	0.019
ASV_1750	0.834	6.876	0.29429004845493	0.660082794104791	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.009	0.004	0.024	0.014	0.005	0.005	0.003	0	0.003	0.013	0.003	0.003	0	0.005
ASV_2068	-0.832	6.461	0.295320664886764	0.661661714712928	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.005	0.003	0	0	0.003	0	0.008	0.003	0.008	0.006	0.003	0.005	0.003
ASV_1620	-0.638	7.399	0.295855253085335	0.661661714712928	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.009	0.014	0.015	0.008	0.005	0.011	0.005	0.008	0.005	0.034	0.017	0.011	0.011	0.005
ASV_2333	0.916	6.44	0.295937380344893	0.661661714712928	NotSig	Bacteria	Candidatus_Saccharibacteria	Unassigned	Unassigned	Unassigned	Saccharibacteria_genera_incertae_sedis	Unassigned	0.004	0.002	0.006	0	0.008	0.003	0.008	0	0.003	0	0.006	0	0.003	0.003
ASV_1503	-0.696	7.329	0.295999938508976	0.661661714712928	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis	Nannocystis_exedens	0.008	0.014	0.015	0.003	0.01	0	0.005	0.014	0.014	0.013	0.025	0.003	0.022	0.005
ASV_1820	0.58	7.253	0.297086497982173	0.662309919139507	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.012	0.008	0.015	0.022	0.005	0.011	0.005	0.014	0.008	0.011	0.003	0.003	0.008	0.016
ASV_1205	1.226	7.634	0.29716757428601	0.662309919139507	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Xenophilus	Xenophilus_aerolatus	0.021	0.009	0.067	0.017	0.039	0	0	0.003	0.027	0	0.003	0	0.022	0
ASV_49	-0.459	11.883	0.297220736976261	0.662309919139507	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Lentzea	Unassigned	0.31	0.45	0.296	0.529	0.504	0.135	0.122	0.276	0.492	0.209	0.369	0.806	0.357	0.467
ASV_1801	1.13	6.126	0.297441356326671	0.662309919139507	NotSig	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Paenibacillus_barcinonensis	0.002	0.001	0	0.003	0	0.008	0	0.003	0	0	0	0	0.003	0.003
ASV_2785	0.774	6.517	0.297737652471875	0.662309919139507	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Unassigned	0.005	0.003	0.006	0	0.008	0.005	0.005	0.003	0	0.005	0.003	0.003	0.003	0.003
ASV_1050	0.649	7.273	0.297961546435447	0.662309919139507	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_daechungensis	0.012	0.008	0.006	0.014	0.016	0.011	0.016	0.008	0.003	0.008	0.022	0.011	0	0.005
ASV_1157	0.671	6.994	0.298052050270306	0.662309919139507	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	0.009	0.006	0.006	0.006	0.008	0.005	0.016	0.011	0.005	0.005	0.006	0.003	0	0.016
ASV_1945	-0.836	6.545	0.298792997024368	0.663396097190813	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis	Nannocystis_exedens	0.003	0.005	0.009	0.006	0	0	0	0.003	0.008	0.003	0.003	0.003	0.003	0.014
ASV_1774	-0.937	6.771	0.299824603423219	0.665125237442234	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.004	0.008	0.015	0.003	0	0.003	0	0.003	0.024	0	0.011	0.003	0.003	0.005
ASV_2801	-0.947	6.37	0.300235450441168	0.665475543479961	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Unassigned	Unassigned	0.002	0.004	0.003	0.006	0	0	0.003	0	0	0.005	0.011	0.003	0	0.005
ASV_2406	-0.588	7.104	0.300618476987151	0.665763647266998	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.006	0.01	0.003	0.006	0.008	0.003	0.005	0.014	0.008	0.008	0.019	0.011	0.011	0.005
ASV_2429	-1.03	6.62	0.301251288597798	0.666218539270141	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Unassigned	0.003	0.006	0.003	0.006	0.008	0	0	0	0.005	0.021	0.003	0.003	0.003	0
ASV_1760	0.732	6.681	0.301540274183646	0.666218539270141	NotSig	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unassigned	Unassigned	Unassigned	0.006	0.004	0.003	0.006	0.005	0.008	0.005	0.008	0	0.005	0.003	0	0.011	0.003
ASV_1528	0.775	6.742	0.301583534880554	0.666218539270141	NotSig	Bacteria	Acidobacteria	Acidobacteria_Gp10	Unassigned	Unassigned	Gp10	Unassigned	0.007	0.004	0.003	0.017	0.01	0.003	0	0.008	0.003	0.003	0.011	0.003	0	0.005
ASV_59	0.335	11.636	0.302281259405802	0.667199658973713	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Unassigned	0.335	0.282	0.299	0.369	0.348	0.355	0.308	0.331	0.246	0.327	0.297	0.27	0.306	0.248
ASV_963	0.542	7.576	0.302917684988061	0.668043947362605	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Unassigned	Unassigned	0.016	0.011	0.015	0.022	0.003	0.019	0.016	0.022	0.008	0.016	0.014	0.011	0.014	0.005
