OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1080	-3.174	6.83	0.000218103443735403	0.0191276720155948	Depleted	Bacteria	Chloroflexi	Chloroflexia	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.011	0	0.006	0	0	0	0	0.022	0.003	0.011	0.014	0.014	0.005
ASV_1068	1.918	10.336	0.000239290524651752	0.0201021505468399	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.185	0.054	0.162	0.168	0.472	0.074	0.07	0.167	0.043	0.058	0.075	0.074	0.027	0.044
ASV_173	6.462	10.447	0.00024449593975632	0.0201021505468399	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Paenibacillus_panacisoli	0.252	0.003	0.009	0.006	0	1.498	0	0	0.005	0.003	0.003	0.003	0.003	0
ASV_175	1.731	10.298	0.000285020598942851	0.0227239150248073	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned	0.174	0.058	0.262	0.059	0.132	0.095	0.267	0.23	0.057	0.045	0.047	0.036	0.068	0.096
ASV_2738	3.235	6.495	0.000301891065846697	0.0233610410071371	Enriched	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unassigned	Unassigned	Unassigned	0.007	0	0.003	0.014	0.003	0.008	0.005	0.008	0	0	0.003	0	0	0
ASV_531	3.394	9.313	0.000320499691261041	0.0240924196487942	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.091	0.01	0.104	0.031	0.016	0.005	0.375	0.016	0.003	0.016	0.006	0.008	0.003	0.027
ASV_2893	-3.799	6.258	0.00034965404869353	0.0251616268364544	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned	0	0.005	0	0	0	0	0	0	0.003	0.005	0.003	0.006	0.005	0.005
ASV_998	-2.155	7.546	0.000353850320391034	0.0251616268364544	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned	0.005	0.023	0.003	0.006	0	0.005	0.003	0.011	0.024	0.013	0.028	0.041	0.014	0.016
ASV_73	1.368	11.523	0.000379006297211647	0.026047613216949	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.401	0.165	0.433	0.213	0.299	0.626	0.295	0.541	0.154	0.185	0.133	0.171	0.173	0.172
ASV_1114	-2.483	7.139	0.000386110572201068	0.026047613216949	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned	0.002	0.015	0.006	0	0	0.003	0.005	0	0.024	0.011	0.028	0.014	0.008	0.008
ASV_649	7.495	8.463	0.000505589290338242	0.0332551355719979	Enriched	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Micromonospora	Unassigned	0.051	0	0	0	0.309	0	0	0	0	0	0	0	0	0
ASV_2918	-3.906	6.287	0.000538079369771859	0.0345289468748722	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Unassigned	Unassigned	0	0.005	0	0	0	0	0	0	0.008	0.003	0.006	0	0.003	0.011
ASV_658	-1.407	10.166	0.000668741172176287	0.0405625477312248	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	Unassigned	0.061	0.166	0.125	0.076	0.039	0.066	0.026	0.033	0.146	0.169	0.238	0.173	0.087	0.183
ASV_2717	5.45	6.983	0.000678210637048196	0.0405625477312248	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Bacillus_horti	0.015	0	0.003	0.003	0	0	0	0.082	0	0	0	0	0	0
ASV_975	3.894	7.708	0.000678355036174037	0.0405625477312248	Enriched	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.026	0.002	0.018	0.02	0	0	0.106	0.011	0.003	0	0.003	0.003	0	0.003
ASV_1803	-4.495	6.512	0.000696134456125936	0.0407006612014964	Depleted	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	0	0.008	0	0	0	0	0	0	0.003	0	0.025	0.006	0.014	0
ASV_2894	-3.203	6.532	0.000736822967432401	0.0415074567226358	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	Peredibacter_starrii	0	0.007	0	0	0	0.003	0	0	0.003	0.011	0.008	0.003	0.014	0.005
ASV_2659	-3.348	6.579	0.000764611786360689	0.0415074567226358	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Unassigned	0	0.008	0	0.003	0	0	0	0	0	0.003	0.011	0.017	0.008	0.011
ASV_2599	-3.918	6.293	0.000770453141547057	0.0415074567226358	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp11	Unassigned	Unassigned	Gp11	Unassigned	0	0.005	0	0	0	0	0	0	0	0.005	0.014	0.003	0.005	0.003
